time, x0, y0, z0, x1, y1, z1 
0.00000, -0.83555, 0.38729, 0.23523, -0.81240, 0.38069, 0.20018  
0.00100, -0.83965, 0.38832, 0.23403, -0.81560, 0.39122, 0.19611  
0.00200, -0.83855, 0.39272, 0.23745, -0.81152, 0.40634, 0.20035  
0.00300, -0.83761, 0.39692, 0.23277, -0.81232, 0.41740, 0.19363  
0.00400, -0.84154, 0.39515, 0.23607, -0.81221, 0.41571, 0.19875  
0.00500, -0.83687, 0.39738, 0.23403, -0.81099, 0.41925, 0.20052  
0.00600, -0.83761, 0.39932, 0.23602, -0.80750, 0.41712, 0.19812  
0.00700, -0.84211, 0.39974, 0.23605, -0.81390, 0.42183, 0.19463  
0.00800, -0.83696, 0.39875, 0.23256, -0.81079, 0.42522, 0.19573  
0.00900, -0.84095, 0.39993, 0.23073, -0.81427, 0.42973, 0.19211  
0.01000, -0.83757, 0.39839, 0.23289, -0.81057, 0.43289, 0.18961  
0.01100, -0.83509, 0.40356, 0.22930, -0.81245, 0.43230, 0.19001  
0.01200, -0.83778, 0.40081, 0.23169, -0.81024, 0.43619, 0.18976  
0.01300, -0.84145, 0.40152, 0.23233, -0.81079, 0.43840, 0.19270  
0.01400, -0.83723, 0.40310, 0.23405, -0.81081, 0.43489, 0.18890  
0.01500, -0.83950, 0.40297, 0.23174, -0.81343, 0.43808, 0.18478  
0.01600, -0.83529, 0.40014, 0.23220, -0.80801, 0.43571, 0.18471  
0.01700, -0.84000, 0.40016, 0.23350, -0.81099, 0.43449, 0.18566  
0.01800, -0.83479, 0.40239, 0.23170, -0.81305, 0.43627, 0.18263  
0.01900, -0.83929, 0.40281, 0.23136, -0.81255, 0.43526, 0.18312  
0.02000, -0.83727, 0.40451, 0.22911, -0.81450, 0.43238, 0.17715  
0.02100, -0.83900, 0.39928, 0.23102, -0.81537, 0.43522, 0.17818  
0.02200, -0.84002, 0.40297, 0.22921, -0.80997, 0.42953, 0.18223  
0.02300, -0.83588, 0.39913, 0.23024, -0.81238, 0.43242, 0.17897  
0.02400, -0.83479, 0.39835, 0.23069, -0.81457, 0.43598, 0.17931  
0.02500, -0.83345, 0.40266, 0.23357, -0.81272, 0.43486, 0.18040  
0.02600, -0.83721, 0.40142, 0.22993, -0.81242, 0.43274, 0.17817  
0.02700, -0.83767, 0.40329, 0.23100, -0.81268, 0.43179, 0.18248  
0.02800, -0.83548, 0.39940, 0.23148, -0.81408, 0.42887, 0.18238  
0.02900, -0.83706, 0.40312, 0.22995, -0.81392, 0.43036, 0.17942  
0.03000, -0.83717, 0.39827, 0.22760, -0.81474, 0.42742, 0.18257  
0.03100, -0.83729, 0.40138, 0.23092, -0.81457, 0.42645, 0.17971  
