time, x0, y0, z0, x1, y1, z1 
0.00000, -0.78156, -0.60604, -0.05709, -0.75352, -0.61176, 0.04015  
0.00100, -0.78016, -0.61142, -0.05703, -0.75916, -0.60974, 0.03990  
0.00200, -0.78024, -0.60778, -0.05850, -0.75699, -0.60856, 0.04091  
0.00300, -0.77965, -0.61014, -0.05709, -0.75142, -0.60911, 0.03916  
0.00400, -0.77890, -0.61005, -0.06191, -0.75403, -0.60848, 0.03916  
0.00500, -0.78037, -0.61287, -0.05819, -0.75321, -0.60919, 0.04635  
0.00600, -0.77757, -0.61201, -0.05653, -0.75216, -0.60951, 0.03967  
0.00700, -0.77547, -0.60604, -0.05575, -0.75039, -0.60896, 0.03679  
0.00800, -0.78045, -0.60543, -0.05867, -0.75283, -0.60492, 0.04156  
0.00900, -0.77852, -0.60743, -0.06081, -0.75085, -0.61403, 0.04297  
0.01000, -0.78022, -0.60787, -0.06050, -0.75329, -0.61060, 0.03933  
0.01100, -0.78110, -0.60646, -0.06523, -0.75521, -0.60760, 0.04169  
0.01200, -0.78053, -0.60553, -0.06165, -0.75077, -0.61180, 0.04038  
0.01300, -0.77946, -0.60465, -0.06056, -0.75537, -0.61287, 0.03841  
0.01400, -0.78032, -0.60204, -0.06113, -0.75203, -0.61501, 0.03813  
0.01500, -0.77871, -0.60425, -0.06212, -0.75293, -0.61066, 0.04393  
0.01600, -0.78001, -0.60925, -0.06302, -0.75598, -0.61001, 0.04168  
0.01700, -0.78117, -0.60955, -0.06102, -0.75542, -0.61295, 0.04301  
0.01800, -0.78146, -0.60825, -0.06212, -0.75382, -0.61010, 0.03830  
0.01900, -0.78096, -0.60995, -0.06184, -0.75462, -0.61129, 0.04234  
0.02000, -0.77883, -0.60970, -0.06615, -0.75865, -0.61235, 0.04133  
0.02100, -0.78489, -0.60617, -0.06310, -0.75827, -0.60684, 0.03977  
0.02200, -0.78024, -0.60471, -0.06220, -0.75243, -0.61539, 0.04168  
0.02300, -0.77906, -0.60677, -0.06184, -0.75415, -0.60795, 0.03696  
0.02400, -0.78171, -0.60579, -0.06618, -0.75794, -0.60980, 0.04162  
0.02500, -0.78196, -0.60492, -0.06556, -0.75972, -0.60768, 0.04137  
0.02600, -0.78045, -0.60888, -0.06424, -0.75729, -0.61319, 0.04055  
0.02700, -0.77936, -0.60909, -0.06327, -0.75556, -0.60984, 0.04013  
0.02800, -0.77826, -0.60776, -0.06105, -0.75855, -0.60734, 0.04311  
0.02900, -0.78243, -0.60818, -0.06374, -0.75417, -0.61283, 0.03849  
0.03000, -0.77749, -0.60820, -0.06205, -0.75125, -0.60946, 0.03571  
0.03100, -0.77806, -0.60690, -0.06395, -0.75523, -0.60762, 0.03723  
0.03200, -0.77522, -0.60919, -0.05919, -0.75365, -0.61148, 0.04065  
0.03300, -0.77662, -0.60568, -0.05819, -0.74612, -0.61220, 0.04005  
0.03400, -0.77597, -0.60553, -0.05764, -0.75691, -0.61014, 0.04017  
0.03500, -0.77625, -0.60776, -0.05756, -0.75495, -0.60328, 0.03551  
0.03600, -0.77614, -0.60812, -0.05531, -0.75289, -0.61049, 0.04175  
0.03700, -0.77394, -0.60656, -0.05922, -0.75169, -0.60667, 0.03780  
0.03800, -0.77505, -0.60732, -0.05957, -0.74896, -0.61285, 0.03736  
0.03900, -0.77137, -0.60623, -0.05886, -0.75182, -0.61163, 0.03756  
0.04000, -0.77641, -0.60812, -0.05466, -0.75212, -0.61169, 0.03819  
0.04100, -0.77341, -0.60766, -0.05579, -0.74812, -0.61108, 0.03527  
0.04200, -0.77154, -0.60896, -0.05571, -0.75130, -0.61323, 0.03576  
0.04300, -0.77038, -0.60532, -0.05503, -0.74690, -0.61230, 0.03550  
0.04400, -0.77536, -0.60394, -0.05795, -0.75039, -0.61359, 0.03544  
0.04500, -0.77438, -0.60539, -0.05779, -0.75113, -0.60999, 0.03418  
0.04600, -0.77305, -0.60596, -0.05800, -0.74953, -0.61388, 0.03498  
0.04700, -0.77192, -0.60658, -0.05678, -0.74722, -0.61363, 0.03376  
0.04800, -0.77471, -0.60684, -0.06006, -0.74944, -0.61871, 0.03593  
0.04900, -0.77280, -0.60356, -0.06056, -0.74883, -0.61386, 0.03082  
0.05000, -0.76872, -0.60255, -0.06056, -0.74877, -0.61724, 0.03668  
0.05100, -0.77494, -0.60081, -0.06083, -0.75092, -0.61245, 0.03551  
0.05200, -0.77456, -0.60301, -0.05800, -0.74980, -0.61531, 0.03347  
0.05300, -0.77047, -0.60221, -0.05898, -0.74829, -0.61405, 0.03515  
0.05400, -0.77364, -0.59900, -0.05693, -0.74306, -0.61916, 0.03260  
0.05500, -0.77028, -0.60337, -0.05850, -0.74797, -0.61398, 0.03687  
0.05600, -0.77282, -0.60017, -0.06132, -0.74974, -0.61344, 0.03963  
0.05700, -0.77330, -0.60858, -0.05819, -0.74804, -0.61090, 0.03326  
0.05800, -0.76998, -0.60526, -0.05827, -0.75113, -0.60654, 0.02966  
0.05900, -0.77333, -0.60390, -0.06214, -0.75251, -0.61161, 0.03546  
0.06000, -0.77497, -0.60562, -0.06046, -0.75026, -0.60850, 0.03450  
0.06100, -0.77669, -0.60493, -0.06096, -0.75216, -0.60995, 0.03220  
0.06200, -0.77160, -0.60659, -0.06273, -0.75130, -0.61352, 0.03027  
0.06300, -0.77208, -0.60312, -0.05949, -0.74945, -0.61337, 0.03363  
