time, x0, y0, z0, x1, y1, z1 
0.00000, -0.71022, 0.06599, 0.65693, -0.66900, 0.08438, 0.67905  
0.00100, -0.70898, 0.06969, 0.65693, -0.67024, 0.08583, 0.67945  
0.00200, -0.70980, 0.06912, 0.65413, -0.67112, 0.08549, 0.67986  
0.00300, -0.71138, 0.06584, 0.65826, -0.67150, 0.08963, 0.67822  
0.00400, -0.70801, 0.06620, 0.65750, -0.66736, 0.09550, 0.67789  
0.00500, -0.70915, 0.06510, 0.65414, -0.66771, 0.09995, 0.67514  
0.00600, -0.70255, 0.07374, 0.65228, -0.66669, 0.10536, 0.67669  
0.00700, -0.70318, 0.07460, 0.65281, -0.66345, 0.10498, 0.67486  
0.00800, -0.70210, 0.07072, 0.65264, -0.66313, 0.10775, 0.67402  
0.00900, -0.70141, 0.07246, 0.65538, -0.66029, 0.10769, 0.67663  
0.01000, -0.69778, 0.07507, 0.65374, -0.65437, 0.10798, 0.67827  
0.01100, -0.69668, 0.07887, 0.65407, -0.65929, 0.10923, 0.67673  
0.01200, -0.70192, 0.07889, 0.65609, -0.65823, 0.11278, 0.67724  
0.01300, -0.70049, 0.07597, 0.65613, -0.65809, 0.11215, 0.68001  
0.01400, -0.70204, 0.07988, 0.65424, -0.66299, 0.11961, 0.67734  
0.01500, -0.69931, 0.07685, 0.65420, -0.65605, 0.11730, 0.68058  
0.01600, -0.70587, 0.08217, 0.65371, -0.66347, 0.12100, 0.68050  
0.01700, -0.70427, 0.08358, 0.65487, -0.66515, 0.11539, 0.68459  
0.01800, -0.70387, 0.08682, 0.65626, -0.66425, 0.12108, 0.68470  
0.01900, -0.70274, 0.08928, 0.65250, -0.66881, 0.12196, 0.67938  
0.02000, -0.70211, 0.09497, 0.65567, -0.66639, 0.12211, 0.68483  
0.02100, -0.70084, 0.09729, 0.65599, -0.66828, 0.12762, 0.68491  
0.02200, -0.70648, 0.09975, 0.65439, -0.66151, 0.12924, 0.68302  
0.02300, -0.70660, 0.10324, 0.65363, -0.66763, 0.12995, 0.68521  
0.02400, -0.70923, 0.10504, 0.65187, -0.66652, 0.12556, 0.68121  
0.02500, -0.70745, 0.10567, 0.65420, -0.66965, 0.12966, 0.67921  
0.02600, -0.70915, 0.10956, 0.65514, -0.66372, 0.12718, 0.68216  
0.02700, -0.71161, 0.11148, 0.65462, -0.66853, 0.12909, 0.68003  
0.02800, -0.70826, 0.11263, 0.65512, -0.66843, 0.12480, 0.68338  
0.02900, -0.71157, 0.11604, 0.65277, -0.67019, 0.12836, 0.68171  
0.03000, -0.71453, 0.12043, 0.65163, -0.67575, 0.12629, 0.68295  
0.03100, -0.71960, 0.12287, 0.65163, -0.67053, 0.12875, 0.67947  
0.03200, -0.72199, 0.12520, 0.64974, -0.68298, 0.13168, 0.67944  
0.03300, -0.72353, 0.13165, 0.64562, -0.67963, 0.12859, 0.67669  
0.03400, -0.72485, 0.13420, 0.64693, -0.68098, 0.13252, 0.67415  
0.03500, -0.72403, 0.13485, 0.64337, -0.68186, 0.13474, 0.67602  
0.03600, -0.72397, 0.13725, 0.64552, -0.67711, 0.13502, 0.67354  
0.03700, -0.72155, 0.13256, 0.64413, -0.68232, 0.13092, 0.67564  
0.03800, -0.72044, 0.13323, 0.64627, -0.67261, 0.12997, 0.67789  
0.03900, -0.71648, 0.13065, 0.64804, -0.67860, 0.12894, 0.67623  
0.04000, -0.71369, 0.13437, 0.65247, -0.68130, 0.12894, 0.67825  
0.04100, -0.71795, 0.12682, 0.65004, -0.67347, 0.12512, 0.67682  
0.04200, -0.71804, 0.11644, 0.66044, -0.67648, 0.12430, 0.67713  
0.04300, -0.71054, 0.12220, 0.66238, -0.67024, 0.12178, 0.68159  
0.04400, -0.71171, 0.12009, 0.65140, -0.67194, 0.12180, 0.68161  
0.04500, -0.71623, 0.11965, 0.64447, -0.67343, 0.11911, 0.67656  
0.04600, -0.71665, 0.11751, 0.64289, -0.67474, 0.11776, 0.66822  
0.04700, -0.71577, 0.11120, 0.63822, -0.67421, 0.11713, 0.66942  
0.04800, -0.71644, 0.10582, 0.63768, -0.67537, 0.11881, 0.67045  
0.04900, -0.71545, 0.10405, 0.63993, -0.67562, 0.10855, 0.67528  
0.05000, -0.71646, 0.09819, 0.64360, -0.67238, 0.10960, 0.67200  
0.05100, -0.71587, 0.09335, 0.64884, -0.67154, 0.10820, 0.67015  
0.05200, -0.71619, 0.08717, 0.65042, -0.66730, 0.10584, 0.67629  
0.05300, -0.70847, 0.08707, 0.65346, -0.67095, 0.10210, 0.67945  
0.05400, -0.71095, 0.08333, 0.65521, -0.67049, 0.10124, 0.68119  
0.05500, -0.70963, 0.08026, 0.65670, -0.67230, 0.10180, 0.67675  
0.05600, -0.70988, 0.08118, 0.65468, -0.66875, 0.10315, 0.67900  
0.05700, -0.71033, 0.08266, 0.65334, -0.66998, 0.10227, 0.68403  
0.05800, -0.71243, 0.08585, 0.65487, -0.66931, 0.10328, 0.67730  
0.05900, -0.71156, 0.08379, 0.65292, -0.66780, 0.10443, 0.68169  
0.06000, -0.71167, 0.08780, 0.65523, -0.67362, 0.10370, 0.67785  
0.06100, -0.71709, 0.09127, 0.65077, -0.67507, 0.11019, 0.67732  
0.06200, -0.71960, 0.09710, 0.65008, -0.67680, 0.10704, 0.67982  
0.06300, -0.72025, 0.09789, 0.64913, -0.67940, 0.11002, 0.67604  
0.06400, -0.71980, 0.10181, 0.65022, -0.68199, 0.10803, 0.67722  
0.06500, -0.72500, 0.10111, 0.65479, -0.68630, 0.11118, 0.68274  
0.06600, -0.71749, 0.10736, 0.65224, -0.67894, 0.11600, 0.67913  
0.06700, -0.71589, 0.10254, 0.65252, -0.67703, 0.10906, 0.68062  
0.06800, -0.71690, 0.09975, 0.65235, -0.67816, 0.10538, 0.68138  
0.06900, -0.71695, 0.09907, 0.65201, -0.67764, 0.10912, 0.68316  
0.07000, -0.71156, 0.10088, 0.65252, -0.67600, 0.11112, 0.68014  
0.07100, -0.71501, 0.09922, 0.65567, -0.67425, 0.10576, 0.68300  
0.07200, -0.71581, 0.09661, 0.65903, -0.67287, 0.11042, 0.67987  
0.07300, -0.71310, 0.10015, 0.65956, -0.67108, 0.10530, 0.68140  
0.07400, -0.71381, 0.09872, 0.65411, -0.67041, 0.10370, 0.68151  
0.07500, -0.70978, 0.09617, 0.65371, -0.66818, 0.10344, 0.68148  
0.07600, -0.70971, 0.09605, 0.65035, -0.67078, 0.10260, 0.68138  
0.07700, -0.71220, 0.09577, 0.65062, -0.67305, 0.10628, 0.67837  
0.07800, -0.71424, 0.09558, 0.65004, -0.67219, 0.10483, 0.67768  
0.07900, -0.71236, 0.09430, 0.64857, -0.67427, 0.10818, 0.67698  
0.08000, -0.71144, 0.09247, 0.65023, -0.67045, 0.10489, 0.67373  
0.08100, -0.71102, 0.08671, 0.64987, -0.66961, 0.10109, 0.67741  
0.08200, -0.70869, 0.08110, 0.65786, -0.66547, 0.09726, 0.67762  
0.08300, -0.70370, 0.08188, 0.65739, -0.65964, 0.09611, 0.67780  
0.08400, -0.70021, 0.07746, 0.65353, -0.65912, 0.09619, 0.67902  
0.08500, -0.69838, 0.07641, 0.64772, -0.65662, 0.09268, 0.67717  
0.08600, -0.70093, 0.07141, 0.64600, -0.65737, 0.09577, 0.67364  
0.08700, -0.69834, 0.06977, 0.64672, -0.66008, 0.09155, 0.67160  
0.08800, -0.69979, 0.06763, 0.64569, -0.65588, 0.09611, 0.67524  
0.08900, -0.70072, 0.06418, 0.64945, -0.65907, 0.09314, 0.67595  
0.09000, -0.70263, 0.05970, 0.65100, -0.66027, 0.09163, 0.67974  
0.09100, -0.69889, 0.05974, 0.65508, -0.66170, 0.09272, 0.67886  
0.09200, -0.69796, 0.05629, 0.65855, -0.65706, 0.08560, 0.68192  
0.09300, -0.69670, 0.06100, 0.65889, -0.65929, 0.08476, 0.68403  
0.09400, -0.70280, 0.06247, 0.65624, -0.66360, 0.08835, 0.68792  
0.09500, -0.69927, 0.06435, 0.66183, -0.66473, 0.08659, 0.68436  
0.09600, -0.69740, 0.06613, 0.65817, -0.66214, 0.09083, 0.68449  
0.09700, -0.70013, 0.07010, 0.65886, -0.65990, 0.09130, 0.68277  
0.09800, -0.69782, 0.06891, 0.65794, -0.66572, 0.09455, 0.68941  
0.09900, -0.70011, 0.07208, 0.65973, -0.65990, 0.08932, 0.68943  
0.10000, -0.70284, 0.07322, 0.65853, -0.66174, 0.09470, 0.68722  
0.10100, -0.70559, 0.07318, 0.66240, -0.66072, 0.09546, 0.68758  
0.10200, -0.70116, 0.07149, 0.65832, -0.66645, 0.09354, 0.69019  
0.10300, -0.70398, 0.07679, 0.66011, -0.66896, 0.09993, 0.69077  
0.10400, -0.70677, 0.07820, 0.66238, -0.66441, 0.09920, 0.69044  
0.10500, -0.70368, 0.08011, 0.66166, -0.66349, 0.10166, 0.69479  
0.10600, -0.70429, 0.08034, 0.66570, -0.66542, 0.10155, 0.69563  
0.10700, -0.70368, 0.07967, 0.66319, -0.66118, 0.10227, 0.69416  
0.10800, -0.70051, 0.08352, 0.66343, -0.65876, 0.09598, 0.69155  
0.10900, -0.70047, 0.08364, 0.66364, -0.66271, 0.10309, 0.69069  
0.11000, -0.69794, 0.08339, 0.66343, -0.65603, 0.10231, 0.69561  
0.11100, -0.70730, 0.07956, 0.66006, -0.65685, 0.10159, 0.69145  
0.11200, -0.69965, 0.08389, 0.66355, -0.65666, 0.09945, 0.69281  
0.11300, -0.70110, 0.08419, 0.65729, -0.66227, 0.09439, 0.69187  
0.11400, -0.69756, 0.08381, 0.65790, -0.66200, 0.09747, 0.69223  
0.11500, -0.70137, 0.08373, 0.65723, -0.65918, 0.09317, 0.69283  
0.11600, -0.69971, 0.08255, 0.65399, -0.66010, 0.09674, 0.68834  
