time, x0, y0, z0, x1, y1, z1 
0.00000, -0.71119, -0.25948, -0.58441, -0.70143, -0.26871, -0.54775  
0.00100, -0.70847, -0.25482, -0.58252, -0.70080, -0.26920, -0.54764  
0.00200, -0.70736, -0.24841, -0.58512, -0.69887, -0.27630, -0.55189  
0.00300, -0.70202, -0.24897, -0.58390, -0.69273, -0.28151, -0.55428  
0.00400, -0.69647, -0.24536, -0.57814, -0.69151, -0.27670, -0.55489  
0.00500, -0.69941, -0.24601, -0.57974, -0.69281, -0.27983, -0.55439  
0.00600, -0.69544, -0.24483, -0.57631, -0.69073, -0.28154, -0.55201  
0.00700, -0.69704, -0.24240, -0.57726, -0.69323, -0.27628, -0.55483  
0.00800, -0.69592, -0.24733, -0.58167, -0.69176, -0.27685, -0.55664  
0.00900, -0.69796, -0.24658, -0.58226, -0.68890, -0.27430, -0.55759  
0.01000, -0.70150, -0.23832, -0.58550, -0.69796, -0.27700, -0.55740  
0.01100, -0.70223, -0.23867, -0.58241, -0.69447, -0.27323, -0.55483  
0.01200, -0.70425, -0.23811, -0.58533, -0.69443, -0.27012, -0.56005  
0.01300, -0.70410, -0.23415, -0.58443, -0.70339, -0.26548, -0.56076  
0.01400, -0.70465, -0.23432, -0.58895, -0.69670, -0.26186, -0.56484  
0.01500, -0.70250, -0.22976, -0.59172, -0.69330, -0.25867, -0.56583  
0.01600, -0.70850, -0.23108, -0.58990, -0.69290, -0.25585, -0.56377  
0.01700, -0.70175, -0.22552, -0.59256, -0.69731, -0.24836, -0.56614  
0.01800, -0.70234, -0.22589, -0.59212, -0.69372, -0.25127, -0.56246  
0.01900, -0.69700, -0.22665, -0.59381, -0.69466, -0.25299, -0.56398  
0.02000, -0.70082, -0.23146, -0.59317, -0.69754, -0.24845, -0.56177  
0.02100, -0.70345, -0.23062, -0.59595, -0.69082, -0.24668, -0.56599  
0.02200, -0.70356, -0.23092, -0.59446, -0.69380, -0.24439, -0.56623  
0.02300, -0.70860, -0.23956, -0.59330, -0.69391, -0.24372, -0.56377  
0.02400, -0.70520, -0.24523, -0.59021, -0.69696, -0.23972, -0.56301  
0.02500, -0.70765, -0.24506, -0.58998, -0.69614, -0.23985, -0.56164  
0.02600, -0.70961, -0.25265, -0.58550, -0.70087, -0.24292, -0.56036  
0.02700, -0.70862, -0.25684, -0.58325, -0.70009, -0.24651, -0.55658  
0.02800, -0.70484, -0.26091, -0.58378, -0.69721, -0.24633, -0.56196  
0.02900, -0.70951, -0.26659, -0.58298, -0.70293, -0.24849, -0.56168  
0.03000, -0.71358, -0.27100, -0.58338, -0.70065, -0.24761, -0.56456  
0.03100, -0.71159, -0.27376, -0.58441, -0.70414, -0.24881, -0.55948  
0.03200, -0.71079, -0.27622, -0.58931, -0.70301, -0.24923, -0.55880  
0.03300, -0.70904, -0.27618, -0.58645, -0.70257, -0.24851, -0.56053  
0.03400, -0.71312, -0.27874, -0.58352, -0.70921, -0.24828, -0.56593  
0.03500, -0.71417, -0.27788, -0.58804, -0.70551, -0.24908, -0.56044  
0.03600, -0.71421, -0.28099, -0.58517, -0.70593, -0.25143, -0.56257  
0.03700, -0.71556, -0.27916, -0.58575, -0.70459, -0.25269, -0.56414  
0.03800, -0.71316, -0.28084, -0.58542, -0.70597, -0.25391, -0.56139  
0.03900, -0.71474, -0.27884, -0.58620, -0.70107, -0.24817, -0.56881  
0.04000, -0.71587, -0.28036, -0.58456, -0.70154, -0.25618, -0.56425  
0.04100, -0.71335, -0.27559, -0.58283, -0.70370, -0.25188, -0.56854  
0.04200, -0.71161, -0.27609, -0.58413, -0.70198, -0.25558, -0.56393  
0.04300, -0.71011, -0.27210, -0.58321, -0.69977, -0.25774, -0.56145  
0.04400, -0.70786, -0.27359, -0.58538, -0.69965, -0.25997, -0.56042  
0.04500, -0.70787, -0.26676, -0.58434, -0.69822, -0.25629, -0.56021  
0.04600, -0.70498, -0.26340, -0.58626, -0.70284, -0.25854, -0.56320  
0.04700, -0.70501, -0.26402, -0.58098, -0.69584, -0.25978, -0.55868  
0.04800, -0.70034, -0.25869, -0.58445, -0.69756, -0.26318, -0.55952  
0.04900, -0.70467, -0.25570, -0.58231, -0.69557, -0.25824, -0.56305  
0.05000, -0.70061, -0.24946, -0.58628, -0.69590, -0.26218, -0.56168  
0.05100, -0.69820, -0.24664, -0.58355, -0.69708, -0.26152, -0.55775  
0.05200, -0.70148, -0.24275, -0.58336, -0.69023, -0.26222, -0.55744  
0.05300, -0.70486, -0.24296, -0.58502, -0.69326, -0.26806, -0.55393  
0.05400, -0.70541, -0.24221, -0.58540, -0.69551, -0.26674, -0.55796  
0.05500, -0.70761, -0.24065, -0.58279, -0.70038, -0.26779, -0.55475  
0.05600, -0.70948, -0.24237, -0.58220, -0.70038, -0.26779, -0.55475  
0.05700, -0.71110, -0.24248, -0.58729, -0.70057, -0.27431, -0.54880  
0.05800, -0.70868, -0.24277, -0.58874, -0.70581, -0.27414, -0.55180  
0.05900, -0.71337, -0.24025, -0.58802, -0.69349, -0.27868, -0.54983  
0.06000, -0.71377, -0.24158, -0.58731, -0.70360, -0.27443, -0.55090  
0.06100, -0.71604, -0.24137, -0.58878, -0.70396, -0.28194, -0.54806  
0.06200, -0.71686, -0.23859, -0.58956, -0.70740, -0.27851, -0.54775  
0.06300, -0.71917, -0.24565, -0.59059, -0.71062, -0.27334, -0.54640  
0.06400, -0.72012, -0.24792, -0.58723, -0.70742, -0.27973, -0.54459  
0.06500, -0.71907, -0.25017, -0.58531, -0.71037, -0.27670, -0.54245  
0.06600, -0.72344, -0.25507, -0.58554, -0.71194, -0.27901, -0.53963  
0.06700, -0.71976, -0.25778, -0.58546, -0.71604, -0.27935, -0.53677  
0.06800, -0.72182, -0.25963, -0.58144, -0.71369, -0.27990, -0.53705  
0.06900, -0.72647, -0.26684, -0.58046, -0.71728, -0.28481, -0.53301  
0.07000, -0.72966, -0.26897, -0.58372, -0.72193, -0.28032, -0.53478  
0.07100, -0.72653, -0.27287, -0.58048, -0.72506, -0.28049, -0.53455  
0.07200, -0.73200, -0.27157, -0.58264, -0.72193, -0.28412, -0.53236  
0.07300, -0.73076, -0.27897, -0.58147, -0.72405, -0.27945, -0.53516  
0.07400, -0.73208, -0.28198, -0.58336, -0.72235, -0.27569, -0.53074  
0.07500, -0.73172, -0.27605, -0.58353, -0.72489, -0.28439, -0.53064  
0.07600, -0.73015, -0.27885, -0.58802, -0.72193, -0.27508, -0.53694  
0.07700, -0.73059, -0.27653, -0.58748, -0.71957, -0.27704, -0.53410  
0.07800, -0.72756, -0.27819, -0.58550, -0.72273, -0.27229, -0.53404  
0.07900, -0.72817, -0.27483, -0.58544, -0.71718, -0.26825, -0.53246  
0.08000, -0.72399, -0.27468, -0.58214, -0.72159, -0.26798, -0.53333  
0.08100, -0.72411, -0.27117, -0.57968, -0.71379, -0.26310, -0.53478  
0.08200, -0.72495, -0.26846, -0.57896, -0.71356, -0.26608, -0.53221  
0.08300, -0.72302, -0.26752, -0.57850, -0.71743, -0.25957, -0.53141  
0.08400, -0.72353, -0.26346, -0.58035, -0.71728, -0.25486, -0.53640  
0.08500, -0.72371, -0.26573, -0.57955, -0.71539, -0.25713, -0.53663  
0.08600, -0.71856, -0.26348, -0.58107, -0.71472, -0.25261, -0.53766  
0.08700, -0.71754, -0.25978, -0.58054, -0.71451, -0.25013, -0.53743  
0.08800, -0.72084, -0.26068, -0.57913, -0.71409, -0.25047, -0.53566  
0.08900, -0.71857, -0.25963, -0.57991, -0.70570, -0.24815, -0.54159  
0.09000, -0.72046, -0.25145, -0.57701, -0.70944, -0.24372, -0.53982  
0.09100, -0.71342, -0.24757, -0.57932, -0.70274, -0.24284, -0.54243  
0.09200, -0.71285, -0.24809, -0.57884, -0.70679, -0.24445, -0.54150  
0.09300, -0.71114, -0.24456, -0.58332, -0.70520, -0.24485, -0.54379  
0.09400, -0.71608, -0.24208, -0.58332, -0.70482, -0.23973, -0.54861  
0.09500, -0.71148, -0.24035, -0.58289, -0.70467, -0.24080, -0.54958  
0.09600, -0.71239, -0.23983, -0.58434, -0.70023, -0.23886, -0.54764  
0.09700, -0.71241, -0.24370, -0.58546, -0.69895, -0.24181, -0.55120  
0.09800, -0.71260, -0.24130, -0.58292, -0.70255, -0.24178, -0.55178  
0.09900, -0.71245, -0.23735, -0.58081, -0.70406, -0.24338, -0.55260  
0.10000, -0.71182, -0.23439, -0.58128, -0.70818, -0.23687, -0.55170  
0.10100, -0.71270, -0.23546, -0.58359, -0.70442, -0.24717, -0.55166  
0.10200, -0.71398, -0.23703, -0.58439, -0.70778, -0.24618, -0.55002  
0.10300, -0.71596, -0.24233, -0.58540, -0.70778, -0.24963, -0.55304  
0.10400, -0.71964, -0.23870, -0.58516, -0.71177, -0.24302, -0.55618  
0.10500, -0.72104, -0.24111, -0.59061, -0.70766, -0.24721, -0.55668  
0.10600, -0.72161, -0.24195, -0.58834, -0.70753, -0.25120, -0.56017  
0.10700, -0.72239, -0.24815, -0.59069, -0.71228, -0.25286, -0.55433  
0.10800, -0.72035, -0.24546, -0.59076, -0.71270, -0.25635, -0.55374  
0.10900, -0.71928, -0.24809, -0.58891, -0.71436, -0.25320, -0.55405  
