time, x0, y0, z0, x1, y1, z1 
0.00000, -0.88827, 0.14875, -0.31610, -0.86609, 0.12789, -0.30710  
0.00100, -0.88827, 0.14875, -0.31610, -0.86609, 0.12789, -0.30710  
0.00200, -0.88871, 0.14868, -0.31443, -0.86378, 0.12741, -0.30420  
0.00300, -0.88737, 0.15017, -0.31593, -0.86393, 0.13208, -0.30245  
0.00400, -0.88881, 0.14973, -0.31637, -0.86180, 0.13123, -0.29905  
0.00500, -0.88297, 0.14751, -0.31805, -0.85726, 0.13126, -0.30146  
0.00600, -0.88360, 0.14481, -0.31860, -0.85913, 0.13166, -0.29547  
0.00700, -0.88638, 0.14421, -0.31689, -0.86691, 0.13052, -0.29968  
0.00800, -0.88919, 0.14502, -0.31898, -0.86407, 0.13384, -0.29663  
0.00900, -0.88543, 0.14709, -0.32133, -0.86311, 0.13357, -0.29799  
0.01000, -0.88854, 0.14631, -0.32148, -0.86046, 0.12768, -0.29667  
0.01100, -0.88976, 0.14366, -0.32042, -0.86124, 0.12691, -0.30006  
0.01200, -0.88627, 0.14410, -0.32000, -0.86159, 0.12793, -0.29558  
0.01300, -0.88873, 0.14915, -0.32045, -0.86037, 0.12854, -0.29640  
0.01400, -0.88755, 0.14574, -0.32007, -0.86647, 0.12560, -0.29907  
0.01500, -0.88465, 0.14608, -0.31906, -0.86525, 0.12709, -0.29985  
0.01600, -0.88715, 0.14376, -0.32061, -0.86416, 0.12423, -0.30035  
0.01700, -0.89172, 0.14551, -0.31740, -0.86519, 0.12089, -0.29924  
0.01800, -0.89058, 0.14620, -0.32059, -0.86889, 0.13008, -0.30231  
0.01900, -0.89041, 0.14362, -0.31614, -0.86651, 0.12503, -0.29896  
0.02000, -0.89048, 0.14231, -0.31931, -0.86529, 0.12232, -0.29896  
0.02100, -0.89294, 0.14353, -0.31925, -0.86843, 0.11705, -0.30384  
0.02200, -0.89167, 0.14462, -0.32131, -0.86645, 0.11765, -0.30386  
0.02300, -0.89188, 0.14448, -0.31919, -0.86845, 0.12329, -0.30954  
0.02400, -0.89176, 0.14362, -0.31853, -0.86739, 0.11721, -0.30632  
0.02500, -0.89117, 0.14496, -0.31935, -0.86809, 0.12276, -0.30979  
0.02600, -0.89478, 0.14301, -0.32051, -0.86611, 0.11362, -0.31059  
0.02700, -0.89474, 0.14664, -0.31912, -0.86971, 0.11780, -0.31120  
0.02800, -0.89151, 0.14450, -0.31996, -0.86456, 0.11995, -0.31168  
0.02900, -0.89014, 0.14355, -0.32053, -0.87023, 0.12175, -0.30693  
0.03000, -0.89443, 0.14154, -0.31982, -0.86681, 0.11993, -0.31099  
0.03100, -0.89090, 0.14378, -0.32082, -0.86475, 0.11559, -0.31260  
0.03200, -0.88797, 0.14343, -0.31651, -0.86803, 0.11454, -0.31633  
0.03300, -0.88575, 0.14330, -0.31780, -0.86836, 0.11530, -0.31485  
0.03400, -0.88749, 0.14557, -0.31843, -0.86294, 0.11724, -0.31666  
0.03500, -0.88696, 0.14605, -0.31618, -0.86781, 0.12207, -0.31372  
0.03600, -0.88562, 0.14111, -0.31918, -0.86420, 0.11696, -0.31569  
0.03700, -0.88617, 0.14166, -0.31784, -0.86592, 0.11971, -0.31490  
0.03800, -0.88694, 0.14341, -0.32017, -0.86355, 0.11690, -0.31322  
0.03900, -0.88430, 0.14557, -0.31706, -0.86155, 0.11644, -0.31404  
0.04000, -0.88253, 0.14647, -0.31919, -0.85897, 0.11660, -0.31597  
0.04100, -0.88463, 0.14502, -0.31830, -0.86208, 0.11782, -0.31822  
0.04200, -0.88348, 0.14444, -0.31876, -0.86319, 0.11906, -0.31750  
0.04300, -0.88404, 0.14282, -0.31921, -0.86334, 0.11536, -0.31590  
0.04400, -0.88583, 0.14404, -0.31731, -0.85913, 0.11669, -0.31879  
0.04500, -0.88242, 0.14433, -0.32053, -0.86197, 0.11881, -0.31679  
0.04600, -0.88797, 0.14629, -0.31845, -0.86384, 0.11732, -0.31725  
0.04700, -0.88820, 0.14215, -0.32442, -0.86142, 0.11402, -0.31788  
0.04800, -0.88734, 0.14154, -0.32084, -0.86523, 0.12516, -0.32093  
0.04900, -0.88568, 0.14406, -0.32043, -0.86494, 0.12026, -0.31855  
0.05000, -0.89098, 0.14660, -0.32085, -0.86403, 0.12182, -0.31828  
0.05100, -0.89029, 0.14465, -0.32108, -0.86367, 0.12144, -0.31879  
0.05200, -0.88757, 0.14280, -0.32091, -0.86504, 0.12358, -0.31712  
0.05300, -0.88766, 0.14410, -0.32209, -0.86498, 0.12213, -0.31342  
0.05400, -0.89159, 0.14284, -0.31811, -0.86300, 0.11906, -0.31450  
0.05500, -0.88633, 0.14271, -0.32209, -0.86483, 0.12016, -0.31387  
0.05600, -0.89008, 0.14303, -0.32305, -0.86708, 0.12457, -0.31612  
0.05700, -0.88577, 0.14324, -0.31939, -0.85985, 0.12268, -0.31698  
0.05800, -0.88444, 0.14292, -0.32232, -0.85897, 0.11690, -0.31240  
0.05900, -0.87997, 0.14578, -0.32169, -0.86218, 0.12413, -0.31109  
0.06000, -0.88322, 0.14019, -0.32225, -0.85642, 0.11843, -0.31000  
0.06100, -0.88346, 0.14177, -0.32286, -0.85909, 0.11995, -0.31418  
0.06200, -0.88488, 0.14257, -0.32379, -0.86241, 0.12388, -0.31538  
0.06300, -0.88121, 0.14395, -0.32387, -0.85955, 0.12453, -0.31528  
0.06400, -0.88345, 0.14471, -0.32276, -0.85775, 0.12100, -0.30949  
0.06500, -0.88255, 0.14009, -0.32431, -0.86348, 0.12295, -0.31322  
0.06600, -0.88507, 0.14235, -0.32038, -0.86222, 0.12493, -0.30941  
0.06700, -0.88181, 0.14151, -0.32324, -0.86287, 0.12611, -0.31116  
0.06800, -0.88438, 0.14267, -0.32314, -0.85453, 0.11835, -0.30930  
0.06900, -0.88341, 0.14420, -0.31994, -0.85793, 0.12299, -0.31033  
0.07000, -0.88087, 0.14080, -0.32398, -0.86077, 0.12793, -0.30867  
0.07100, -0.88335, 0.14450, -0.32461, -0.85899, 0.12539, -0.30968  
0.07200, -0.88179, 0.14194, -0.32225, -0.86189, 0.12850, -0.31199  
0.07300, -0.88402, 0.14347, -0.32360, -0.86390, 0.12541, -0.30880  
0.07400, -0.88696, 0.14116, -0.32383, -0.86123, 0.12848, -0.31206  
0.07500, -0.88503, 0.14326, -0.32568, -0.86021, 0.12817, -0.31141  
0.07600, -0.88196, 0.13859, -0.32709, -0.86527, 0.12905, -0.30975  
0.07700, -0.88657, 0.14496, -0.32263, -0.86113, 0.12402, -0.30851  
0.07800, -0.88348, 0.14437, -0.32387, -0.85979, 0.12629, -0.30737  
0.07900, -0.88654, 0.14164, -0.31969, -0.85882, 0.12609, -0.31149  
0.08000, -0.88221, 0.13948, -0.31870, -0.86100, 0.12266, -0.30630  
0.08100, -0.88442, 0.14242, -0.32269, -0.85918, 0.12598, -0.30891  
0.08200, -0.88514, 0.14353, -0.32045, -0.86145, 0.12413, -0.30909  
0.08300, -0.88684, 0.14368, -0.32305, -0.86386, 0.12472, -0.31111  
0.08400, -0.88747, 0.14191, -0.31982, -0.86199, 0.12278, -0.31042  
0.08500, -0.89041, 0.14381, -0.32242, -0.86388, 0.12665, -0.31097  
0.08600, -0.88717, 0.14713, -0.32150, -0.86136, 0.12625, -0.31021  
0.08700, -0.88736, 0.14496, -0.32141, -0.86628, 0.13071, -0.31294  
0.08800, -0.88514, 0.14408, -0.32005, -0.86575, 0.12548, -0.31097  
0.08900, -0.89108, 0.14719, -0.31736, -0.86384, 0.12598, -0.30405  
0.09000, -0.89088, 0.14587, -0.31742, -0.86958, 0.12846, -0.30315  
0.09100, -0.88856, 0.14502, -0.31876, -0.87013, 0.12798, -0.30876  
0.09200, -0.88947, 0.14704, -0.31712, -0.86567, 0.12445, -0.31096  
0.09300, -0.89025, 0.14360, -0.31727, -0.86729, 0.12249, -0.30159  
0.09400, -0.88879, 0.14519, -0.31664, -0.86576, 0.12348, -0.30594  
0.09500, -0.88980, 0.14418, -0.31696, -0.87336, 0.12110, -0.30323  
0.09600, -0.89666, 0.14376, -0.31666, -0.86693, 0.11957, -0.30571  
0.09700, -0.89113, 0.14776, -0.31704, -0.86718, 0.11501, -0.30380  
0.09800, -0.89470, 0.14267, -0.31990, -0.86535, 0.11070, -0.30008  
0.09900, -0.88924, 0.14410, -0.31706, -0.87046, 0.11677, -0.30420  
0.10000, -0.89251, 0.14101, -0.31702, -0.86761, 0.11141, -0.30079  
0.10100, -0.89235, 0.14311, -0.31818, -0.86985, 0.11059, -0.30186  
0.10200, -0.89262, 0.14967, -0.31698, -0.86882, 0.11127, -0.29493  
0.10300, -0.88821, 0.14595, -0.31691, -0.86950, 0.11194, -0.30134  
0.10400, -0.88984, 0.14711, -0.31471, -0.86971, 0.11677, -0.30537  
0.10500, -0.89243, 0.14738, -0.31723, -0.86674, 0.11003, -0.29896  
0.10600, -0.89304, 0.14690, -0.31487, -0.87181, 0.11024, -0.29736  
0.10700, -0.89434, 0.14372, -0.31313, -0.86975, 0.11341, -0.29585  
0.10800, -0.89394, 0.14782, -0.31643, -0.86882, 0.11072, -0.30052  
0.10900, -0.89272, 0.14730, -0.31458, -0.86897, 0.11122, -0.29659  
0.11000, -0.89079, 0.14631, -0.31570, -0.87423, 0.11091, -0.29730  
0.11100, -0.89540, 0.14513, -0.31605, -0.86622, 0.11150, -0.29707  
0.11200, -0.89575, 0.14578, -0.31332, -0.87046, 0.11280, -0.29602  
0.11300, -0.89355, 0.14294, -0.31557, -0.87351, 0.11192, -0.29255  
0.11400, -0.89382, 0.14414, -0.31507, -0.87368, 0.10872, -0.29375  
0.11500, -0.89523, 0.14441, -0.31517, -0.87132, 0.11650, -0.30397  
0.11600, -0.89437, 0.14353, -0.31649, -0.86960, 0.11105, -0.29585  
0.11700, -0.89685, 0.14503, -0.31261, -0.87420, 0.11414, -0.30127  
0.11800, -0.89745, 0.14460, -0.31633, -0.87297, 0.11301, -0.29428  
0.11900, -0.89777, 0.14383, -0.31395, -0.87347, 0.11286, -0.29587  
0.12000, -0.89556, 0.14399, -0.31309, -0.87957, 0.11013, -0.29549  
0.12100, -0.89705, 0.14296, -0.31387, -0.87748, 0.11623, -0.29446  
0.12200, -0.89914, 0.14374, -0.31649, -0.87221, 0.11374, -0.29615  
0.12300, -0.89939, 0.14658, -0.31563, -0.86933, 0.10691, -0.29415  
0.12400, -0.89678, 0.14605, -0.31504, -0.87362, 0.11635, -0.29602  
0.12500, -0.89424, 0.14664, -0.31630, -0.86840, 0.11694, -0.29741  
0.12600, -0.89115, 0.14746, -0.31557, -0.87208, 0.11951, -0.29934  
0.12700, -0.89399, 0.14420, -0.31601, -0.87406, 0.11208, -0.29606  
0.12800, -0.89508, 0.14084, -0.31448, -0.87284, 0.11349, -0.29339  
0.12900, -0.89249, 0.14664, -0.31513, -0.87101, 0.11675, -0.29825  
0.13000, -0.89109, 0.14515, -0.31607, -0.87259, 0.11654, -0.29316  
