time, x0, y0, z0, x1, y1, z1 
0.00000, -0.79983, 0.22322, -0.44245, -0.77923, 0.19762, -0.45620  
0.00100, -0.80076, 0.22470, -0.44212, -0.77791, 0.19886, -0.44876  
0.00200, -0.80215, 0.22562, -0.44363, -0.77963, 0.20334, -0.44909  
0.00300, -0.79487, 0.22684, -0.44142, -0.77763, 0.21002, -0.44710  
0.00400, -0.79533, 0.22974, -0.44172, -0.76778, 0.21326, -0.45218  
0.00500, -0.78949, 0.22886, -0.44054, -0.77158, 0.21723, -0.45300  
0.00600, -0.78671, 0.22665, -0.43709, -0.76641, 0.22060, -0.44508  
0.00700, -0.79128, 0.22554, -0.44018, -0.76870, 0.22287, -0.44210  
0.00800, -0.78678, 0.22272, -0.43728, -0.77032, 0.23180, -0.44462  
0.00900, -0.79100, 0.22684, -0.43425, -0.76536, 0.23155, -0.44384  
0.01000, -0.78505, 0.22083, -0.43299, -0.76672, 0.23073, -0.43856  
0.01100, -0.78238, 0.22081, -0.43180, -0.76679, 0.22781, -0.43491  
0.01200, -0.78388, 0.21841, -0.42803, -0.76891, 0.23077, -0.43690  
0.01300, -0.78415, 0.21662, -0.42850, -0.76677, 0.22385, -0.43837  
0.01400, -0.78415, 0.21667, -0.42912, -0.76132, 0.23075, -0.43358  
0.01500, -0.78321, 0.21563, -0.42406, -0.76488, 0.23247, -0.43226  
0.01600, -0.78022, 0.21379, -0.42282, -0.76542, 0.23308, -0.43234  
0.01700, -0.78230, 0.21362, -0.42425, -0.76412, 0.22778, -0.43209  
0.01800, -0.78800, 0.21275, -0.42261, -0.76313, 0.23083, -0.43425  
0.01900, -0.78611, 0.20817, -0.42091, -0.76275, 0.22890, -0.42894  
0.02000, -0.78548, 0.20737, -0.41859, -0.76664, 0.22959, -0.43039  
0.02100, -0.78936, 0.20912, -0.42248, -0.76302, 0.22303, -0.42538  
0.02200, -0.78712, 0.20681, -0.42015, -0.76906, 0.22604, -0.43003  
0.02300, -0.79237, 0.20485, -0.41576, -0.77387, 0.22686, -0.43303  
0.02400, -0.78943, 0.20624, -0.41790, -0.77057, 0.22057, -0.42559  
0.02500, -0.79027, 0.20323, -0.41531, -0.77038, 0.22154, -0.42627  
0.02600, -0.79067, 0.19760, -0.41363, -0.77457, 0.21845, -0.42463  
0.02700, -0.79443, 0.19878, -0.41603, -0.76982, 0.21681, -0.42175  
0.02800, -0.79271, 0.19688, -0.41561, -0.77545, 0.20891, -0.42149  
0.02900, -0.79803, 0.19758, -0.41758, -0.77475, 0.20185, -0.41891  
0.03000, -0.80364, 0.19728, -0.41529, -0.78148, 0.20010, -0.41761  
0.03100, -0.80498, 0.19699, -0.41832, -0.78690, 0.20739, -0.42196  
0.03200, -0.81041, 0.19451, -0.41903, -0.78945, 0.20130, -0.41698  
0.03300, -0.81024, 0.19604, -0.42299, -0.79250, 0.20214, -0.41775  
0.03400, -0.81257, 0.19180, -0.42267, -0.79336, 0.19508, -0.41206  
0.03500, -0.82035, 0.19417, -0.42301, -0.79979, 0.18902, -0.41332  
0.03600, -0.81829, 0.19350, -0.42086, -0.80252, 0.18553, -0.41101  
0.03700, -0.82352, 0.19133, -0.42511, -0.79958, 0.18372, -0.41433  
0.03800, -0.82853, 0.18856, -0.42234, -0.79966, 0.17925, -0.41147  
0.03900, -0.82903, 0.19125, -0.42521, -0.80627, 0.17862, -0.40920  
0.04000, -0.83155, 0.18988, -0.42324, -0.80181, 0.17109, -0.41101  
0.04100, -0.83303, 0.19430, -0.42431, -0.81024, 0.16788, -0.40514  
0.04200, -0.82874, 0.19152, -0.42522, -0.81118, 0.16851, -0.40672  
0.04300, -0.83340, 0.19348, -0.42234, -0.81476, 0.16588, -0.40058  
0.04400, -0.83733, 0.19398, -0.42280, -0.81175, 0.16567, -0.40014  
0.04500, -0.83839, 0.19810, -0.42421, -0.81135, 0.15717, -0.39669  
0.04600, -0.83742, 0.19667, -0.41956, -0.81490, 0.15907, -0.40176  
0.04700, -0.83815, 0.20018, -0.42343, -0.81421, 0.15423, -0.39539  
0.04800, -0.83975, 0.20012, -0.42135, -0.81427, 0.14830, -0.39738  
0.04900, -0.84042, 0.20132, -0.41939, -0.81755, 0.15501, -0.39169  
0.05000, -0.84187, 0.20420, -0.41864, -0.82052, 0.15059, -0.38931  
0.05100, -0.83914, 0.20390, -0.41483, -0.81675, 0.14416, -0.39227  
0.05200, -0.84499, 0.20386, -0.41750, -0.81825, 0.14265, -0.39328  
0.05300, -0.84259, 0.20828, -0.41487, -0.82113, 0.14132, -0.39087  
0.05400, -0.84429, 0.20374, -0.41611, -0.81955, 0.13451, -0.39007  
0.05500, -0.84370, 0.20294, -0.41388, -0.82319, 0.13336, -0.39103  
0.05600, -0.84661, 0.20407, -0.41346, -0.82695, 0.13376, -0.38652  
0.05700, -0.84246, 0.20458, -0.40703, -0.82420, 0.13107, -0.38658  
0.05800, -0.84444, 0.20348, -0.40726, -0.82155, 0.13012, -0.38788  
0.05900, -0.85102, 0.20647, -0.40277, -0.82710, 0.12865, -0.38586  
0.06000, -0.84862, 0.20588, -0.40201, -0.82758, 0.12838, -0.38631  
0.06100, -0.85321, 0.20670, -0.40560, -0.83204, 0.13279, -0.38561  
0.06200, -0.85554, 0.20704, -0.40255, -0.83464, 0.13384, -0.38200  
0.06300, -0.85865, 0.21334, -0.40457, -0.83527, 0.13288, -0.38086  
0.06400, -0.85651, 0.21215, -0.40554, -0.83435, 0.13384, -0.38429  
0.06500, -0.85342, 0.21517, -0.40386, -0.83424, 0.13464, -0.37924  
0.06600, -0.85495, 0.21484, -0.40245, -0.83300, 0.13981, -0.37674  
0.06700, -0.85659, 0.21610, -0.40503, -0.83271, 0.14011, -0.37537  
0.06800, -0.85234, 0.21679, -0.40606, -0.82983, 0.13975, -0.37542  
0.06900, -0.85468, 0.21477, -0.40739, -0.82855, 0.13983, -0.37619  
0.07000, -0.85186, 0.21454, -0.40611, -0.83061, 0.14038, -0.37460  
0.07100, -0.85081, 0.21259, -0.40781, -0.83050, 0.14282, -0.37319  
0.07200, -0.85278, 0.21418, -0.40930, -0.82891, 0.14444, -0.36999  
0.07300, -0.85394, 0.21137, -0.40798, -0.82960, 0.14904, -0.37283  
0.07400, -0.85543, 0.21011, -0.41033, -0.83212, 0.14874, -0.37357  
0.07500, -0.85205, 0.21093, -0.41138, -0.83111, 0.14927, -0.37275  
0.07600, -0.85732, 0.21112, -0.41458, -0.82907, 0.15123, -0.37241  
0.07700, -0.85356, 0.20908, -0.41468, -0.83302, 0.14959, -0.37374  
0.07800, -0.85545, 0.21015, -0.41525, -0.83179, 0.15348, -0.37683  
0.07900, -0.85833, 0.21049, -0.41601, -0.83063, 0.15440, -0.37531  
0.08000, -0.85140, 0.20836, -0.41775, -0.82987, 0.15520, -0.37355  
0.08100, -0.85226, 0.20987, -0.41664, -0.82914, 0.15438, -0.37325  
0.08200, -0.85123, 0.20914, -0.41401, -0.82829, 0.15982, -0.37306  
0.08300, -0.85133, 0.21557, -0.41365, -0.82317, 0.16369, -0.37521  
0.08400, -0.85051, 0.21490, -0.41174, -0.82504, 0.16651, -0.37273  
0.08500, -0.84923, 0.21547, -0.41233, -0.82424, 0.17029, -0.38103  
0.08600, -0.84665, 0.22072, -0.41536, -0.82891, 0.17164, -0.37735  
0.08700, -0.84936, 0.21992, -0.41689, -0.83235, 0.17584, -0.37815  
0.08800, -0.85201, 0.21761, -0.41414, -0.82853, 0.17681, -0.38021  
0.08900, -0.85211, 0.21931, -0.41672, -0.82729, 0.17609, -0.38139  
0.09000, -0.85194, 0.21450, -0.41872, -0.82956, 0.17454, -0.37741  
0.09100, -0.84961, 0.21587, -0.42212, -0.83031, 0.17374, -0.37750  
0.09200, -0.85297, 0.21082, -0.42133, -0.82441, 0.17845, -0.38118  
0.09300, -0.84402, 0.21111, -0.42019, -0.82775, 0.18122, -0.38105  
0.09400, -0.84513, 0.21011, -0.41986, -0.82214, 0.17664, -0.38319  
0.09500, -0.84360, 0.21063, -0.42175, -0.82483, 0.18246, -0.37722  
0.09600, -0.84387, 0.20840, -0.42059, -0.82066, 0.17937, -0.38013  
0.09700, -0.84076, 0.21091, -0.42137, -0.82117, 0.17969, -0.38202  
0.09800, -0.84253, 0.20971, -0.41889, -0.81715, 0.17870, -0.38395  
0.09900, -0.83838, 0.21112, -0.41883, -0.81617, 0.18438, -0.38206  
0.10000, -0.84072, 0.21162, -0.41504, -0.81367, 0.17782, -0.38185  
0.10100, -0.83822, 0.21145, -0.41590, -0.81470, 0.18076, -0.37922  
0.10200, -0.83609, 0.20809, -0.41927, -0.81726, 0.18169, -0.37909  
0.10300, -0.83666, 0.20962, -0.41885, -0.81310, 0.17876, -0.38322  
0.10400, -0.82981, 0.20895, -0.41759, -0.81768, 0.18202, -0.39062  
0.10500, -0.83529, 0.20924, -0.42198, -0.81221, 0.17681, -0.39156  
0.10600, -0.83765, 0.20777, -0.42273, -0.81432, 0.17731, -0.39677  
0.10700, -0.83799, 0.20344, -0.41872, -0.81448, 0.17227, -0.39516  
0.10800, -0.83385, 0.20134, -0.42559, -0.81120, 0.17471, -0.40077  
0.10900, -0.83324, 0.20161, -0.42534, -0.81190, 0.17323, -0.40462  
0.11000, -0.83485, 0.20050, -0.42912, -0.81764, 0.17183, -0.40283  
0.11100, -0.83870, 0.20082, -0.42568, -0.81738, 0.17284, -0.40743  
0.11200, -0.83235, 0.20018, -0.42818, -0.81242, 0.16676, -0.40844  
0.11300, -0.83366, 0.20094, -0.42805, -0.81007, 0.17059, -0.41492  
