time, x0, y0, z0, x1, y1, z1 
0.00000, -0.76624, 0.39629, 0.45284, -0.72584, 0.38940, 0.48670  
0.00100, -0.75819, 0.48330, 0.32784, -0.72319, 0.43467, 0.46782  
0.00200, -0.62521, 0.43335, 0.48313, -0.60238, 0.40720, 0.45980  
0.00300, -0.78762, 0.44117, 0.36734, -0.74362, 0.37552, 0.43207  
0.00400, -0.83487, 0.47544, 0.36688, -0.79090, 0.39270, 0.41307  
0.00500, -0.80826, 0.43917, 0.35503, -0.77072, 0.42070, 0.40335  
0.00600, -0.77955, 0.45284, 0.33472, -0.73193, 0.40981, 0.42246  
0.00700, -0.72943, 0.45856, 0.35528, -0.68533, 0.40565, 0.42883  
0.00800, -0.71667, 0.44628, 0.39040, -0.68153, 0.40762, 0.41449  
0.00900, -0.80681, 0.44842, 0.40646, -0.74219, 0.40445, 0.44111  
0.01000, -0.83389, 0.43915, 0.39228, -0.79479, 0.40468, 0.45568  
0.01100, -0.80406, 0.43304, 0.38038, -0.76302, 0.41510, 0.42788  
0.01200, -0.83387, 0.43804, 0.37987, -0.78909, 0.40949, 0.43228  
0.01300, -0.82747, 0.43598, 0.34908, -0.78878, 0.39721, 0.44888  
0.01400, -0.77993, 0.44920, 0.37107, -0.72521, 0.38734, 0.45305  
0.01500, -0.68695, 0.46110, 0.42168, -0.63566, 0.40331, 0.44428  
0.01600, -0.59681, 0.50341, 0.48367, -0.58132, 0.39900, 0.44579  
0.01700, -0.46562, 0.54779, 0.55649, -0.36943, 0.39980, 0.46925  
0.01800, -0.22587, 0.53074, 0.68710, -0.18375, 0.39516, 0.46995  
0.01900, -0.29831, 0.51897, 0.70368, -0.29654, 0.40052, 0.49175  
0.02000, -0.52299, 0.45135, 0.65737, -0.43333, 0.40882, 0.44449  
0.02100, -0.71426, 0.09644, 0.49006, -0.73248, 0.31328, 0.47142  
0.02200, -0.98745, 0.49994, 0.51102, -0.99018, 0.26031, 0.46965  
0.02300, -1.07395, 0.44912, 0.19567, -1.05505, 0.36600, 0.38460  
0.02400, -1.05890, 0.43264, 0.13597, -0.99709, 0.38227, 0.27899  
0.02500, -0.92072, 0.45364, 0.10357, -0.79515, 0.36390, 0.20981  
0.02600, -0.71314, 0.50213, 0.10992, -0.69590, 0.35915, 0.22167  
0.02700, -0.65681, 0.51802, 0.23439, -0.59301, 0.35412, 0.31029  
0.02800, -0.65580, 0.50634, 0.28606, -0.64999, 0.39228, 0.36100  
0.02900, -0.74825, 0.50291, 0.34161, -0.71869, 0.42341, 0.37907  
0.03000, -0.76870, 0.48882, 0.46518, -0.68371, 0.41563, 0.35648  
0.03100, -0.63540, 0.52010, 0.59486, -0.49280, 0.37600, 0.36922  
0.03200, -0.35273, 0.54220, 0.72208, -0.28837, 0.36194, 0.41952  
0.03300, -0.22566, 0.52471, 0.77166, -0.22148, 0.37874, 0.43163  
0.03400, -0.38115, 0.39577, 0.65369, -0.53280, 0.44920, 0.42637  
0.03500, -0.83607, 0.43919, 0.51010, -0.79901, 0.34723, 0.36280  
0.03600, -0.86136, 0.50077, 0.34870, -0.89125, 0.35261, 0.36688  
0.03700, -1.07708, 0.52996, 0.26447, -1.05324, 0.37365, 0.41294  
0.03800, -0.98406, 0.50171, 0.15167, -0.83624, 0.40657, 0.33878  
0.03900, -0.64663, 0.59319, 0.16809, -0.49625, 0.40310, 0.23573  
0.04000, -0.38214, 0.62428, 0.25412, -0.32461, 0.46173, 0.27254  
0.04100, -0.60221, 0.54281, 0.32986, -0.77244, 0.47588, 0.37766  
