time, x0, y0, z0, x1, y1, z1 
0.00000, 0.00000, 0.04467, -0.43127, -0.66936, -0.03269, -0.36283  
0.00100, 0.00000, 0.04316, -0.48494, -0.68930, -0.02760, -0.37861  
0.00200, 0.00000, 0.02100, -0.49879, -0.70786, -0.02731, -0.38721  
0.00300, 0.00000, -0.00208, -0.51243, -0.71232, -0.04095, -0.38168  
0.00400, 0.00000, -0.00669, -0.51363, -0.70332, -0.03685, -0.37066  
0.00500, 0.00000, -0.00742, -0.50541, -0.68764, -0.02888, -0.36016  
0.00600, 0.00000, -0.00303, -0.50117, -0.68201, -0.02342, -0.35374  
0.00700, 0.00000, -0.00193, -0.49711, -0.67331, -0.01865, -0.35231  
0.00800, 0.00000, 0.00109, -0.49398, -0.66629, -0.00374, -0.35307  
0.00900, 0.00000, 0.01245, -0.48567, -0.65802, -0.00093, -0.35326  
0.01000, 0.00000, 0.01783, -0.48435, -0.65594, 0.00029, -0.34943  
0.01100, 0.00000, 0.02487, -0.47991, -0.64981, 0.01209, -0.34447  
0.01200, 0.00000, 0.02651, -0.48332, -0.64394, 0.01879, -0.35295  
0.01300, 0.00000, 0.03736, -0.48010, -0.64121, 0.02687, -0.35702  
0.01400, 0.00000, 0.04555, -0.48220, -0.64339, 0.03752, -0.36036  
0.01500, 0.00000, 0.04902, -0.47960, -0.64095, 0.04204, -0.36274  
0.01600, 0.00000, 0.05278, -0.48088, -0.64550, 0.04986, -0.36802  
0.01700, 0.00000, 0.05188, -0.47617, -0.63982, 0.05438, -0.37302  
0.01800, 0.00000, 0.05424, -0.47531, -0.64375, 0.05587, -0.37613  
0.01900, 0.00000, 0.05365, -0.47386, -0.64960, 0.06390, -0.38134  
0.02000, 0.00000, 0.04913, -0.46762, -0.64613, 0.06418, -0.38422  
0.02100, 0.00000, 0.04278, -0.46238, -0.65413, 0.06918, -0.39019  
0.02200, 0.00000, 0.03668, -0.46167, -0.65620, 0.07181, -0.39301  
0.02300, 0.00000, 0.03649, -0.45135, -0.65414, 0.08104, -0.40350  
0.02400, 0.00000, 0.03351, -0.44834, -0.65516, 0.08402, -0.40531  
0.02500, 0.00000, 0.03103, -0.44365, -0.65607, 0.08852, -0.40339  
0.02600, 0.00000, 0.03433, -0.44271, -0.66410, 0.08701, -0.40911  
0.02700, 0.00000, 0.04166, -0.43505, -0.66456, 0.09695, -0.41372  
0.02800, 0.00000, 0.04051, -0.43137, -0.66599, 0.09741, -0.41590  
0.02900, 0.00000, 0.04963, -0.42383, -0.66034, 0.09872, -0.41882  
0.03000, 0.00000, 0.05468, -0.41994, -0.65994, 0.10494, -0.42727  
0.03100, 0.00000, 0.06050, -0.41533, -0.65662, 0.10693, -0.42786  
0.03200, 0.00000, 0.06996, -0.41067, -0.65327, 0.11086, -0.43110  
0.03300, 0.00000, 0.07351, -0.40895, -0.65083, 0.10979, -0.43312  
0.03400, 0.00000, 0.08207, -0.40119, -0.64987, 0.11347, -0.43837  
0.03500, 0.00000, 0.08650, -0.39452, -0.64562, 0.11677, -0.44159  
0.03600, 0.00000, 0.09264, -0.39238, -0.64262, 0.11377, -0.44104  
0.03700, 0.00000, 0.09712, -0.38971, -0.63896, 0.11803, -0.44413  
0.03800, 0.00000, 0.10178, -0.38908, -0.64152, 0.11723, -0.44800  
0.03900, 0.00000, 0.11026, -0.38662, -0.64121, 0.10817, -0.44889  
0.04000, 0.00000, 0.10698, -0.38935, -0.63709, 0.10574, -0.44195  
0.04100, 0.00000, 0.09657, -0.38885, -0.63837, 0.10433, -0.43602  
0.04200, 0.00000, 0.09768, -0.37989, -0.63587, 0.10935, -0.44918  
0.04300, 0.00000, 0.10071, -0.37418, -0.63875, 0.10687, -0.44922  
0.04400, 0.00000, 0.10099, -0.37144, -0.64409, 0.10342, -0.44691  
0.04500, 0.00000, 0.10572, -0.36667, -0.63812, 0.09502, -0.44422  
0.04600, 0.00000, 0.10193, -0.36589, -0.64137, 0.08364, -0.44203  
0.04700, 0.00000, 0.09638, -0.36732, -0.63900, 0.08472, -0.44029  
0.04800, 0.00000, 0.09108, -0.36392, -0.64135, 0.08207, -0.44390  
0.04900, 0.00000, 0.08978, -0.36358, -0.64430, 0.09510, -0.45223  
0.05000, 0.00000, 0.09756, -0.35437, -0.64264, 0.08560, -0.45221  
0.05100, 0.00000, 0.10044, -0.35353, -0.64445, 0.07635, -0.44764  
0.05200, 0.00000, 0.10014, -0.35398, -0.64159, 0.07387, -0.44420  
0.05300, 0.00000, 0.09867, -0.34977, -0.64096, 0.06998, -0.44712  
0.05400, 0.00000, 0.09819, -0.34603, -0.64283, 0.07318, -0.45700  
0.05500, 0.00000, 0.10231, -0.34365, -0.63757, 0.06571, -0.45202  
0.05600, 0.00000, 0.10260, -0.34279, -0.64541, 0.06149, -0.45336  
0.05700, 0.00000, 0.11135, -0.34304, -0.63990, 0.05375, -0.45158  
0.05800, 0.00000, 0.11209, -0.34071, -0.64148, 0.04999, -0.45212  
0.05900, 0.00000, 0.10651, -0.33897, -0.64377, 0.05470, -0.45296  
0.06000, 0.00000, 0.10710, -0.34061, -0.64381, 0.05781, -0.45143  
0.06100, 0.00000, 0.11993, -0.33751, -0.64541, 0.05550, -0.45040  
0.06200, 0.00000, 0.11618, -0.33308, -0.64499, 0.05241, -0.46125  
0.06300, 0.00000, 0.11526, -0.33684, -0.64936, 0.04974, -0.46486  
0.06400, 0.00000, 0.11568, -0.34058, -0.64995, 0.04406, -0.46576  
0.06500, 0.00000, 0.11780, -0.34454, -0.65451, 0.03849, -0.46917  
0.06600, 0.00000, 0.12104, -0.34870, -0.65538, 0.04080, -0.47548  
0.06700, 0.00000, 0.11623, -0.34657, -0.65977, 0.03357, -0.47960  
0.06800, 0.00000, 0.11723, -0.34758, -0.66534, 0.03628, -0.48681  
0.06900, 0.00000, 0.12125, -0.34946, -0.67123, 0.03920, -0.49541  
0.07000, 0.00000, 0.12646, -0.35355, -0.68213, 0.04286, -0.49999  
0.07100, 0.00000, 0.12672, -0.35986, -0.68964, 0.04795, -0.51443  
0.07200, 0.00000, 0.13279, -0.36440, -0.69721, 0.05264, -0.52256  
0.07300, 0.00000, 0.14050, -0.36894, -0.70555, 0.05556, -0.53007  
0.07400, 0.00000, 0.14692, -0.37533, -0.71291, 0.06317, -0.53881  
0.07500, 0.00000, 0.15448, -0.38132, -0.72683, 0.06565, -0.54949  
0.07600, 0.00000, 0.16062, -0.38910, -0.73635, 0.07313, -0.56265  
0.07700, 0.00000, 0.17071, -0.39473, -0.75052, 0.08015, -0.57108  
0.07800, 0.00000, 0.18476, -0.40537, -0.76317, 0.08039, -0.58563  
0.07900, 0.00000, 0.18627, -0.41277, -0.77805, 0.09111, -0.60394  
0.08000, 0.00000, 0.18873, -0.42807, -0.79609, 0.09867, -0.61699  
0.08100, 0.00000, 0.19053, -0.43417, -0.81137, 0.10876, -0.63925  
0.08200, 0.00000, 0.19600, -0.44197, -0.82420, 0.11295, -0.65687  
0.08300, 0.00000, 0.19243, -0.44645, -0.84438, 0.12146, -0.67869  
0.08400, 0.00000, 0.19184, -0.45767, -0.86325, 0.11969, -0.70681  
0.08500, 0.00000, 0.19045, -0.47348, -0.89233, 0.13180, -0.73465  
0.08600, 0.00000, 0.19361, -0.48958, -0.91343, 0.13983, -0.75703  
0.08700, 0.00000, 0.19651, -0.50291, -0.93443, 0.14416, -0.78608  
0.08800, 0.00000, 0.20214, -0.51304, -0.96260, 0.15511, -0.81377  
0.08900, 0.00000, 0.20916, -0.52790, -0.99134, 0.16380, -0.84194  
0.09000, 0.00000, 0.21557, -0.54697, -1.02085, 0.16701, -0.87008  
0.09100, 0.00000, 0.22572, -0.56850, -1.05017, 0.17769, -0.89485  
0.09200, 0.00000, 0.23218, -0.58750, -1.08646, 0.18482, -0.92377  
0.09300, 0.00000, 0.23808, -0.61121, -1.11755, 0.18261, -0.94431  
0.09400, 0.00000, 0.24927, -0.63126, -1.15435, 0.18932, -0.96991  
0.09500, 0.00000, 0.25190, -0.65613, -1.19415, 0.19499, -0.98587  
0.09600, 0.00000, 0.26295, -0.68251, -1.22433, 0.19152, -0.99770  
0.09700, 0.00000, 0.26291, -0.69912, -1.27413, 0.18940, -1.02112  
0.09800, 0.00000, 0.26171, -0.71653, -1.29307, 0.19035, -1.02455  
0.09900, 0.00000, 0.26203, -0.74125, -1.32721, 0.18343, -1.02438  
0.10000, 0.00000, 0.26104, -0.76015, -1.35452, 0.16989, -1.01912  
0.10100, 0.00000, 0.25347, -0.77181, -1.37619, 0.15636, -1.00893  
0.10200, 0.00000, 0.24622, -0.78215, -1.40017, 0.14238, -1.00027  
0.10300, 0.00000, 0.23523, -0.79613, -1.41809, 0.12142, -0.97855  
0.10400, 0.00000, 0.22064, -0.80496, -1.43415, 0.10174, -0.95142  
0.10500, 0.00000, 0.20288, -0.80776, -1.43888, 0.08333, -0.93267  
0.10600, 0.00000, 0.19394, -0.82060, -1.43272, 0.06638, -0.90546  
0.10700, 0.00000, 0.17811, -0.82825, -1.42838, 0.02787, -0.85110  
0.10800, 0.00000, 0.16342, -0.84179, -1.42445, 0.01511, -0.83389  
0.10900, 0.00000, 0.15087, -0.84726, -1.39967, -0.00853, -0.80280  
0.11000, 0.00000, 0.14349, -0.85289, -1.38269, -0.02853, -0.77724  
0.11100, 0.00000, 0.13441, -0.85554, -1.35582, -0.05121, -0.74636  
0.11200, 0.00000, 0.11782, -0.86075, -1.32515, -0.07399, -0.71045  
0.11300, 0.00000, 0.10923, -0.86540, -1.28773, -0.09653, -0.67661  
0.11400, 0.00000, 0.09943, -0.86096, -1.25360, -0.10895, -0.64945  
0.11500, 0.00000, 0.09232, -0.85440, -1.21008, -0.12405, -0.61943  
0.11600, 0.00000, 0.08883, -0.84690, -1.16901, -0.13214, -0.58430  
0.11700, 0.00000, 0.08881, -0.85028, -1.13935, -0.14021, -0.55653  
0.11800, 0.00000, 0.09346, -0.84009, -1.10470, -0.14696, -0.53743  
0.11900, 0.00000, 0.09411, -0.82600, -1.07479, -0.15396, -0.51582  
0.12000, 0.00000, 0.09378, -0.82142, -1.05045, -0.15562, -0.49150  
0.12100, 0.00000, 0.10704, -0.80875, -1.02333, -0.15327, -0.47367  
0.12200, 0.00000, 0.11225, -0.79491, -1.00079, -0.15743, -0.44773  
0.12300, 0.00000, 0.12331, -0.76801, -0.97797, -0.14933, -0.43037  
0.12400, 0.00000, 0.12815, -0.76166, -0.96373, -0.14090, -0.41199  
0.12500, 0.00000, 0.13475, -0.74921, -0.93996, -0.13617, -0.39448  
0.12600, 0.00000, 0.14282, -0.74064, -0.92476, -0.12472, -0.37434  
0.12700, 0.00000, 0.15146, -0.71804, -0.89630, -0.11581, -0.37025  
0.12800, 0.00000, 0.15591, -0.70271, -0.88148, -0.09876, -0.35738  
0.12900, 0.00000, 0.16584, -0.68855, -0.86058, -0.09155, -0.34866  
0.13000, 0.00000, 0.16832, -0.66780, -0.84730, -0.07982, -0.34626  
0.13100, 0.00000, 0.17925, -0.64629, -0.82693, -0.06622, -0.33747  
0.13200, 0.00000, 0.18267, -0.64022, -0.79987, -0.04604, -0.34172  
0.13300, 0.00000, 0.18946, -0.62471, -0.79294, -0.03416, -0.34510  
0.13400, 0.00000, 0.20151, -0.59635, -0.77755, -0.02186, -0.34695  
0.13500, 0.00000, 0.20660, -0.58786, -0.76113, 0.00223, -0.35254  
0.13600, 0.00000, 0.21385, -0.55840, -0.74514, 0.02308, -0.35494  
0.13700, 0.00000, 0.21761, -0.53406, -0.72727, 0.04000, -0.36581  
0.13800, 0.00000, 0.22936, -0.51081, -0.70454, 0.07097, -0.36814  
0.13900, 0.00000, 0.23775, -0.48876, -0.69719, 0.07849, -0.37218  
0.14000, 0.00000, 0.24466, -0.46715, -0.68033, 0.10305, -0.38364  
0.14100, 0.00000, 0.24946, -0.44189, -0.67343, 0.11946, -0.39228  
0.14200, 0.00000, 0.25618, -0.42376, -0.65487, 0.13388, -0.39883  
0.14300, 0.00000, 0.26100, -0.40598, -0.63898, 0.15200, -0.40777  
0.14400, 0.00000, 0.26047, -0.38412, -0.62916, 0.17212, -0.41830  
0.14500, 0.00000, 0.26907, -0.36915, -0.61531, 0.19585, -0.42652  
0.14600, 0.00000, 0.27784, -0.35086, -0.60493, 0.21090, -0.43512  
0.14700, 0.00000, 0.27391, -0.33529, -0.59294, 0.22326, -0.44096  
0.14800, 0.00000, 0.27418, -0.32413, -0.58622, 0.23630, -0.45149  
0.14900, 0.00000, 0.26934, -0.30670, -0.57690, 0.25475, -0.46034  
0.15000, 0.00000, 0.26863, -0.29552, -0.57112, 0.26794, -0.47390  
0.15100, 0.00000, 0.26434, -0.28400, -0.56513, 0.28101, -0.47937  
0.15200, 0.00000, 0.26026, -0.27542, -0.56713, 0.28946, -0.48197  
0.15300, 0.00000, 0.25438, -0.26567, -0.55784, 0.29140, -0.48801  
0.15400, 0.00000, 0.24778, -0.25635, -0.55702, 0.30510, -0.49622  
0.15500, 0.00000, 0.23922, -0.25465, -0.55592, 0.31301, -0.49837  
0.15600, 0.00000, 0.23605, -0.25040, -0.55944, 0.31818, -0.50207  
0.15700, 0.00000, 0.23117, -0.24523, -0.56154, 0.33491, -0.51125  
0.15800, 0.00000, 0.22877, -0.24164, -0.56358, 0.33796, -0.51834  
0.15900, 0.00000, 0.21803, -0.23552, -0.56513, 0.34422, -0.51832  
0.16000, 0.00000, 0.21254, -0.23348, -0.56828, 0.35107, -0.52202  
0.16100, 0.00000, 0.21259, -0.23371, -0.57178, 0.35572, -0.52299  
0.16200, 0.00000, 0.20832, -0.23125, -0.57583, 0.36283, -0.53312  
0.16300, 0.00000, 0.20128, -0.22684, -0.58405, 0.36886, -0.53923  
0.16400, 0.00000, 0.19800, -0.22844, -0.58302, 0.37846, -0.53371  
0.16500, 0.00000, 0.19936, -0.23184, -0.58922, 0.37992, -0.53041  
0.16600, 0.00000, 0.20098, -0.23151, -0.59160, 0.38355, -0.53263  
0.16700, 0.00000, 0.19325, -0.23016, -0.59488, 0.38395, -0.53278  
0.16800, 0.00000, 0.18581, -0.23117, -0.60516, 0.39137, -0.53682  
0.16900, 0.00000, 0.18391, -0.23088, -0.61340, 0.39074, -0.53825  
0.17000, 0.00000, 0.18154, -0.23390, -0.62002, 0.39129, -0.54089  
0.17100, 0.00000, 0.18038, -0.23781, -0.62551, 0.39234, -0.54537  
0.17200, 0.00000, 0.18265, -0.23703, -0.63122, 0.39282, -0.54951  
0.17300, 0.00000, 0.18341, -0.24059, -0.63972, 0.38553, -0.55023  
0.17400, 0.00000, 0.18932, -0.24750, -0.64531, 0.38462, -0.54617  
0.17500, 0.00000, 0.19548, -0.25318, -0.64837, 0.37842, -0.54167  
0.17600, 0.00000, 0.19964, -0.26091, -0.65931, 0.36890, -0.54129  
0.17700, 0.00000, 0.20472, -0.26951, -0.66723, 0.36678, -0.54161  
0.17800, 0.00000, 0.20994, -0.27754, -0.67533, 0.34639, -0.53970  
0.17900, 0.00000, 0.21090, -0.28765, -0.68693, 0.33705, -0.53858  
0.18000, 0.00000, 0.21364, -0.29812, -0.69077, 0.32831, -0.53869  
0.18100, 0.00000, 0.21120, -0.30462, -0.70036, 0.31097, -0.53740  
0.18200, 0.00000, 0.20851, -0.31446, -0.70986, 0.29093, -0.53526  
0.18300, 0.00000, 0.20269, -0.31845, -0.72290, 0.28040, -0.52958  
0.18400, 0.00000, 0.19218, -0.32490, -0.72992, 0.26184, -0.52546  
0.18500, 0.00000, 0.18902, -0.32814, -0.73702, 0.24458, -0.52311  
0.18600, 0.00000, 0.18097, -0.32585, -0.74753, 0.22964, -0.52235  
0.18700, 0.00000, 0.17998, -0.32644, -0.75260, 0.21343, -0.51626  
0.18800, 0.00000, 0.17195, -0.32497, -0.75983, 0.19835, -0.50905  
0.18900, 0.00000, 0.16607, -0.32501, -0.77551, 0.18713, -0.50959  
0.19000, 0.00000, 0.15934, -0.32568, -0.78241, 0.17550, -0.50411  
0.19100, 0.00000, 0.15528, -0.32574, -0.78558, 0.16130, -0.49639  
0.19200, 0.00000, 0.15497, -0.32457, -0.79048, 0.15434, -0.49559  
0.19300, 0.00000, 0.15451, -0.32269, -0.79733, 0.15633, -0.49456  
0.19400, 0.00000, 0.15577, -0.32440, -0.79836, 0.14160, -0.49091  
0.19500, 0.00000, 0.15684, -0.32810, -0.79979, 0.13977, -0.48744  
0.19600, 0.00000, 0.15533, -0.33085, -0.80076, 0.14065, -0.48695  
0.19700, 0.00000, 0.15793, -0.33484, -0.80439, 0.13212, -0.47379  
0.19800, 0.00000, 0.16384, -0.34060, -0.81055, 0.13594, -0.47533  
0.19900, 0.00000, 0.16495, -0.34800, -0.81631, 0.13422, -0.46879  
0.20000, 0.00000, 0.16468, -0.35309, -0.81314, 0.13214, -0.46345  
0.20100, 0.00000, 0.16859, -0.37115, -0.81898, 0.13288, -0.45506  
0.20200, 0.00000, 0.17616, -0.37987, -0.82251, 0.13262, -0.45053  
0.20300, 0.00000, 0.17847, -0.38929, -0.82766, 0.13279, -0.43787  
0.20400, 0.00000, 0.17866, -0.39684, -0.83349, 0.14153, -0.42723  
0.20500, 0.00000, 0.18171, -0.40539, -0.83990, 0.14307, -0.42645  
0.20600, 0.00000, 0.18816, -0.41412, -0.84465, 0.14618, -0.41740  
0.20700, 0.00000, 0.19367, -0.42536, -0.85375, 0.14500, -0.40777  
0.20800, 0.00000, 0.19447, -0.43423, -0.85835, 0.14814, -0.40062  
0.20900, 0.00000, 0.19777, -0.44178, -0.86056, 0.15282, -0.39532  
0.21000, 0.00000, 0.20302, -0.45282, -0.87124, 0.15041, -0.38269  
0.21100, 0.00000, 0.21147, -0.46474, -0.87337, 0.15930, -0.37880  
0.21200, 0.00000, 0.21240, -0.47686, -0.87992, 0.15831, -0.36646  
0.21300, 0.00000, 0.21736, -0.49007, -0.88755, 0.16430, -0.36152  
0.21400, 0.00000, 0.22427, -0.49891, -0.89054, 0.16462, -0.35162  
0.21500, 0.00000, 0.22776, -0.51044, -0.89373, 0.16647, -0.34952  
0.21600, 0.00000, 0.23201, -0.51916, -0.90015, 0.16785, -0.34416  
0.21700, 0.00000, 0.23794, -0.54108, -0.90094, 0.17006, -0.33670  
0.21800, 0.00000, 0.23876, -0.54308, -0.90364, 0.16962, -0.32904  
0.21900, 0.00000, 0.24523, -0.54886, -0.91578, 0.17195, -0.32228  
0.22000, 0.00000, 0.24446, -0.55521, -0.91162, 0.17185, -0.31929  
0.22100, 0.00000, 0.24574, -0.55925, -0.91221, 0.17157, -0.31750  
0.22200, 0.00000, 0.24574, -0.56051, -0.91423, 0.17145, -0.30849  
0.22300, 0.00000, 0.24786, -0.56616, -0.91478, 0.17775, -0.30231  
0.22400, 0.00000, 0.24427, -0.57030, -0.91295, 0.17216, -0.29795  
0.22500, 0.00000, 0.24500, -0.56395, -0.91423, 0.17094, -0.29142  
0.22600, 0.00000, 0.24611, -0.56116, -0.91003, 0.17368, -0.28927  
0.22700, 0.00000, 0.24662, -0.55801, -0.91204, 0.17567, -0.28709  
0.22800, 0.00000, 0.24544, -0.54996, -0.91030, 0.17111, -0.28372  
0.22900, 0.00000, 0.24380, -0.54497, -0.91133, 0.17126, -0.28160  
0.23000, 0.00000, 0.24496, -0.54300, -0.91253, 0.17534, -0.28385  
0.23100, 0.00000, 0.24227, -0.53877, -0.90065, 0.17162, -0.29202  
0.23200, 0.00000, 0.23794, -0.53629, -0.89577, 0.17529, -0.31094  
0.23300, 0.00000, 0.22734, -0.53436, -0.89157, 0.17702, -0.31622  
0.23400, 0.00000, 0.22301, -0.52908, -0.88179, 0.17803, -0.33009  
0.23500, 0.00000, 0.21547, -0.51689, -0.87517, 0.17912, -0.34166  
0.23600, 0.00000, 0.20733, -0.50154, -0.85993, 0.18425, -0.35383  
0.23700, 0.00000, 0.20382, -0.48491, -0.85888, 0.18835, -0.36152  
0.23800, 0.00000, 0.19756, -0.46915, -0.85615, 0.19453, -0.36848  
0.23900, 0.00000, 0.19304, -0.45597, -0.84650, 0.19081, -0.36776  
0.24000, 0.00000, 0.18618, -0.42324, -0.85735, 0.19758, -0.36835  
0.24100, 0.00000, 0.18074, -0.40365, -0.85932, 0.19760, -0.36051  
0.24200, 0.00000, 0.17721, -0.38891, -0.85449, 0.19640, -0.35591  
0.24300, 0.00000, 0.17803, -0.38315, -0.85810, 0.19358, -0.34235  
0.24400, 0.00000, 0.17675, -0.38038, -0.85758, 0.19705, -0.33749  
0.24500, 0.00000, 0.17830, -0.38139, -0.86006, 0.19789, -0.32877  
0.24600, 0.00000, 0.18656, -0.39190, -0.86294, 0.19979, -0.31679  
0.24700, 0.00000, 0.19928, -0.39978, -0.86607, 0.19087, -0.31427  
0.24800, 0.00000, 0.20412, -0.42879, -0.86258, 0.19009, -0.30287  
0.24900, 0.00000, 0.21511, -0.44516, -0.86729, 0.20470, -0.29591  
0.25000, 0.00000, 0.24529, -0.46307, -0.85926, 0.20956, -0.27708  
0.25100, 0.00000, 0.26604, -0.49496, -0.85398, 0.19411, -0.28111  
0.25200, 0.00000, 0.27382, -0.51397, -0.84639, 0.20319, -0.28109  
0.25300, 0.00000, 0.29196, -0.54298, -0.83998, 0.22141, -0.27252  
0.25400, 0.00000, 0.31740, -0.56379, -0.82949, 0.21725, -0.25522  
0.25500, 0.00000, 0.33585, -0.58161, -0.81202, 0.21870, -0.23287  
0.25600, 0.00000, 0.34714, -0.57493, -0.80301, 0.22070, -0.23678  
0.25700, 0.00000, 0.34491, -0.56381, -0.78964, 0.23674, -0.24885  
0.25800, 0.00000, 0.34298, -0.55305, -0.77877, 0.24790, -0.25372  
0.25900, 0.00000, 0.33800, -0.53488, -0.76569, 0.26918, -0.26098  
