time, x0, y0, z0, x1, y1, z1 
0.00000, -0.95119, 0.06239, -0.02853, -0.92047, -0.11343, -0.04663  
0.00100, -0.95215, 0.06802, -0.02964, -0.92022, -0.11040, -0.04597  
0.00200, -0.95234, 0.07608, -0.03178, -0.92041, -0.11265, -0.04707  
0.00300, -0.95297, 0.08507, -0.03235, -0.92300, -0.11467, -0.04316  
0.00400, -0.95709, 0.09398, -0.03696, -0.92567, -0.11839, -0.04292  
0.00500, -0.95572, 0.11568, -0.05356, -0.93620, -0.11837, -0.01970  
0.00600, -0.95768, 0.11768, -0.06433, -0.94418, -0.11320, -0.01392  
0.00700, -0.95535, 0.11358, -0.05684, -0.93760, -0.11959, -0.02560  
0.00800, -0.96592, 0.09371, -0.03391, -0.93931, -0.11898, -0.04007  
0.00900, -0.96813, 0.08009, -0.02584, -0.93750, -0.11953, -0.03311  
0.01000, -0.95913, 0.07666, -0.03216, -0.92894, -0.11620, -0.03481  
0.01100, -0.95757, 0.07578, -0.03613, -0.93122, -0.11833, -0.03418  
0.01200, -0.95661, 0.07067, -0.04885, -0.93010, -0.11829, -0.03447  
0.01300, -0.95036, 0.06430, -0.05709, -0.93098, -0.12041, -0.03485  
0.01400, -0.95379, 0.06063, -0.05987, -0.92920, -0.12659, -0.02930  
0.01500, -0.95406, 0.05501, -0.06990, -0.93254, -0.13227, -0.02680  
0.01600, -0.95432, 0.05072, -0.07336, -0.93779, -0.13897, -0.02010  
0.01700, -0.95810, 0.04490, -0.07555, -0.94048, -0.13527, -0.01581  
0.01800, -0.95749, 0.04114, -0.07818, -0.93828, -0.13132, -0.01432  
0.01900, -0.95779, 0.03464, -0.07162, -0.94193, -0.13311, -0.01562  
0.02000, -0.95869, 0.03122, -0.07015, -0.93575, -0.12726, -0.01852  
0.02100, -0.96102, 0.02081, -0.06655, -0.93725, -0.13285, -0.02708  
0.02200, -0.95749, 0.00914, -0.05487, -0.93086, -0.13578, -0.02918  
0.02300, -0.96403, -0.00481, -0.05148, -0.93090, -0.14042, -0.03496  
0.02400, -0.96159, -0.01425, -0.04454, -0.92535, -0.14318, -0.04297  
0.02500, -0.96645, -0.02745, -0.04044, -0.92855, -0.13975, -0.04627  
0.02600, -0.96741, -0.03696, -0.03569, -0.92897, -0.14126, -0.04932  
0.02700, -0.97328, -0.04597, -0.03855, -0.93191, -0.13788, -0.04704  
0.02800, -0.96920, -0.05491, -0.03918, -0.93258, -0.13973, -0.04557  
0.02900, -0.96867, -0.06104, -0.04339, -0.93374, -0.13620, -0.04099  
0.03000, -0.97099, -0.06681, -0.04946, -0.92794, -0.13519, -0.04097  
0.03100, -0.96725, -0.06950, -0.05377, -0.93147, -0.13752, -0.03935  
0.03200, -0.96706, -0.07269, -0.05661, -0.93327, -0.14019, -0.03572  
0.03300, -0.96695, -0.07299, -0.06369, -0.93004, -0.14273, -0.03305  
0.03400, -0.96632, -0.07612, -0.06763, -0.92882, -0.14000, -0.03353  
0.03500, -0.96149, -0.07906, -0.07389, -0.93618, -0.14154, -0.02850  
0.03600, -0.96458, -0.08263, -0.07483, -0.93691, -0.14341, -0.02741  
0.03700, -0.96582, -0.07915, -0.07685, -0.93647, -0.14740, -0.02024  
0.03800, -0.96807, -0.08297, -0.07811, -0.93618, -0.14820, -0.01961  
0.03900, -0.96512, -0.08694, -0.07938, -0.93225, -0.14688, -0.01886  
0.04000, -0.96615, -0.09153, -0.07692, -0.93491, -0.14690, -0.01953  
0.04100, -0.96399, -0.09230, -0.07568, -0.93231, -0.14479, -0.01797  
0.04200, -0.96268, -0.09638, -0.07513, -0.93294, -0.14162, -0.01883  
0.04300, -0.96743, -0.09933, -0.07648, -0.93554, -0.13720, -0.01657  
0.04400, -0.96222, -0.10799, -0.07225, -0.93493, -0.13985, -0.01783  
0.04500, -0.96811, -0.11065, -0.06937, -0.93842, -0.14193, -0.02087  
0.04600, -0.96647, -0.11621, -0.06618, -0.92775, -0.14284, -0.02174  
0.04700, -0.96798, -0.11288, -0.06416, -0.93409, -0.14267, -0.02571  
0.04800, -0.96895, -0.10975, -0.05854, -0.93849, -0.14151, -0.02520  
0.04900, -0.97435, -0.11173, -0.05524, -0.93803, -0.13952, -0.02546  
0.05000, -0.97954, -0.10473, -0.04538, -0.94156, -0.13710, -0.02228  
0.05100, -0.98248, -0.10143, -0.04265, -0.94566, -0.14162, -0.02697  
0.05200, -0.98154, -0.09096, -0.03649, -0.94635, -0.14324, -0.02323  
0.05300, -0.98169, -0.08842, -0.03347, -0.94099, -0.14723, -0.02291  
0.05400, -0.97914, -0.08144, -0.02644, -0.94168, -0.14336, -0.02611  
0.05500, -0.97994, -0.07540, -0.02382, -0.94099, -0.14114, -0.02619  
0.05600, -0.98072, -0.06933, -0.01766, -0.93721, -0.13958, -0.02949  
0.05700, -0.97946, -0.06264, -0.01551, -0.93874, -0.13977, -0.02649  
0.05800, -0.98120, -0.06001, -0.00910, -0.94315, -0.14097, -0.02384  
0.05900, -0.97641, -0.06004, -0.00931, -0.93721, -0.14063, -0.01852  
0.06000, -0.97479, -0.05793, -0.00635, -0.93403, -0.13737, -0.01518  
0.06100, -0.96846, -0.05503, -0.00179, -0.93344, -0.13559, -0.01774  
