time, x, y, z 
0.000137, -0.606117, 0.537701, -0.372467
0.000321, -0.601883, 0.542927, -0.366135
0.000419, -0.601292, 0.542908, -0.355625
0.000471, -0.598602, 0.541363, -0.342388
0.000520, -0.600872, 0.540371, -0.340061
0.000569, -0.600643, 0.542068, -0.339413
0.000617, -0.602837, 0.549908, -0.339794
0.000666, -0.604439, 0.550747, -0.333843
0.000714, -0.603867, 0.549068, -0.319481
0.000763, -0.605049, 0.546913, -0.309143
0.000811, -0.603867, 0.546989, -0.309544
0.000860, -0.602627, 0.549507, -0.317898
0.000908, -0.607243, 0.548420, -0.321503
0.000956, -0.611629, 0.542431, -0.316124
0.001004, -0.610256, 0.541935, -0.303612
0.001053, -0.611248, 0.542088, -0.295315
0.001102, -0.616608, 0.540543, -0.300407
0.001150, -0.621243, 0.536518, -0.309734
0.001198, -0.625591, 0.535622, -0.310974
0.001247, -0.629387, 0.535297, -0.302143
0.001295, -0.629902, 0.531559, -0.290775
0.001343, -0.632877, 0.525379, -0.282478
0.001391, -0.637722, 0.519295, -0.282364
0.001439, -0.639248, 0.519180, -0.290318
0.001488, -0.643768, 0.522652, -0.295525
0.001536, -0.649071, 0.521011, -0.292721
0.001734, -0.649509, 0.517864, -0.280609
0.002226, -0.647087, 0.520802, -0.277500
0.002717, -0.649357, 0.521183, -0.280552
0.003171, -0.648785, 0.518284, -0.284977
0.003676, -0.653477, 0.515957, -0.288086
0.004177, -0.652065, 0.512886, -0.280991
0.004699, -0.651569, 0.515194, -0.273151
0.005145, -0.651913, 0.514107, -0.270729
0.006159, -0.650978, 0.512905, -0.275021
0.006653, -0.651836, 0.511036, -0.276127
0.007151, -0.652180, 0.507450, -0.267887
0.007644, -0.649605, 0.505848, -0.262127
0.008139, -0.652294, 0.505371, -0.263290
0.008634, -0.652065, 0.505619, -0.268021
0.009130, -0.650806, 0.506649, -0.274677
0.009623, -0.654945, 0.504646, -0.270195
0.010118, -0.654812, 0.501308, -0.265923
0.010612, -0.648003, 0.502281, -0.264072
0.011109, -0.652637, 0.501289, -0.268269
0.011600, -0.655632, 0.499077, -0.277290
0.012091, -0.653114, 0.501289, -0.282269
0.012579, -0.654926, 0.494423, -0.280209
0.013071, -0.657310, 0.490856, -0.282688
0.013612, -0.657310, 0.492058, -0.280781
0.014561, -0.656891, 0.489731, -0.294323
0.015060, -0.659771, 0.491638, -0.300064
0.015560, -0.660648, 0.489540, -0.300312
0.016059, -0.660038, 0.486965, -0.296764
0.016572, -0.661392, 0.482616, -0.294361
0.017067, -0.659828, 0.477676, -0.296078
0.017570, -0.658646, 0.476189, -0.302677
0.018065, -0.659046, 0.474930, -0.307312
0.018564, -0.655041, 0.471249, -0.306988
0.019059, -0.653877, 0.467186, -0.301495
0.019555, -0.656643, 0.465240, -0.297623
0.020020, -0.656319, 0.464115, -0.306778
0.020538, -0.653477, 0.462379, -0.309296
0.022033, -0.643444, 0.450993, -0.306702
0.022537, -0.641346, 0.448914, -0.305309
0.023025, -0.642719, 0.449982, -0.312920
0.023512, -0.641994, 0.447559, -0.323029
0.023998, -0.642586, 0.442944, -0.320797
0.024548, -0.639305, 0.442085, -0.320263
0.024984, -0.639210, 0.443668, -0.316505
0.025470, -0.636024, 0.444584, -0.315647
0.025956, -0.638065, 0.439587, -0.318146
0.026494, -0.638847, 0.439720, -0.323448
0.026981, -0.639076, 0.435982, -0.326672
0.027445, -0.640545, 0.431480, -0.324154
0.027980, -0.639477, 0.424061, -0.323544
0.028473, -0.642910, 0.422020, -0.326939
0.028958, -0.644493, 0.423527, -0.334129
0.029447, -0.648174, 0.422573, -0.342121
0.029931, -0.650463, 0.427494, -0.343971
0.030434, -0.649414, 0.424805, -0.341015
0.030933, -0.648308, 0.418682, -0.336037
0.032434, -0.649090, 0.418835, -0.356674
0.032898, -0.655651, 0.418224, -0.362625
0.033385, -0.654621, 0.421867, -0.363789
0.033899, -0.657043, 0.424557, -0.365143
0.034394, -0.661602, 0.428963, -0.369473
0.034911, -0.661297, 0.432148, -0.376644
0.035394, -0.665417, 0.433826, -0.380802
0.035878, -0.666809, 0.439758, -0.383701
0.036360, -0.667229, 0.442562, -0.385456
0.036894, -0.671368, 0.443268, -0.387726
0.037377, -0.673370, 0.442581, -0.391197
0.037860, -0.673599, 0.442276, -0.396633
0.038341, -0.679016, 0.442429, -0.398521
0.038853, -0.680752, 0.443153, -0.400314
0.039335, -0.679016, 0.443916, -0.398579
0.039870, -0.683079, 0.442333, -0.399361
0.040352, -0.681934, 0.444775, -0.398712
0.040834, -0.687428, 0.445480, -0.404606
0.041317, -0.691853, 0.448589, -0.408230
0.042340, -0.693207, 0.443554, -0.404720
0.042822, -0.696526, 0.448303, -0.404987
0.043304, -0.699692, 0.444584, -0.410156
0.043788, -0.701370, 0.443783, -0.415344
0.044322, -0.702744, 0.445404, -0.418491
0.044807, -0.702915, 0.445576, -0.421333
0.045289, -0.705166, 0.452442, -0.423336
0.045785, -0.707264, 0.450859, -0.424881
0.046336, -0.710983, 0.450554, -0.427246
0.047304, -0.721779, 0.454674, -0.446949
0.047798, -0.722084, 0.452347, -0.447407
0.048258, -0.723820, 0.457859, -0.447826
0.048744, -0.726852, 0.454845, -0.450592
0.049301, -0.730534, 0.453262, -0.446796
0.049797, -0.735188, 0.458488, -0.451279
0.050300, -0.738182, 0.461292, -0.460186
0.050752, -0.743198, 0.457382, -0.466251
0.051253, -0.743141, 0.448341, -0.462780
0.051756, -0.749092, 0.448475, -0.455990
0.052717, -0.756264, 0.461464, -0.465889
0.053219, -0.757084, 0.461979, -0.472450
0.053733, -0.761967, 0.455647, -0.466995
0.054238, -0.757866, 0.455914, -0.459976
0.054719, -0.760078, 0.455647, -0.458832
0.055191, -0.760307, 0.448418, -0.462971
0.055725, -0.763817, 0.449371, -0.467739
0.056191, -0.767345, 0.448265, -0.472889
0.056674, -0.771503, 0.450878, -0.478668
0.057187, -0.775146, 0.454960, -0.480995
0.057708, -0.774860, 0.454273, -0.474396
0.058182, -0.777416, 0.454750, -0.474110
0.058697, -0.774860, 0.458260, -0.477295
0.059170, -0.778561, 0.457726, -0.478935
0.059645, -0.778351, 0.463409, -0.481701
0.060166, -0.776939, 0.468559, -0.490189
0.060636, -0.777168, 0.468197, -0.487137
0.061173, -0.777149, 0.463772, -0.477695
0.061658, -0.776348, 0.463371, -0.474262
0.062160, -0.776024, 0.468197, -0.478325
0.063126, -0.771275, 0.471058, -0.496044
0.063650, -0.770187, 0.473328, -0.485516
0.064118, -0.762634, 0.471745, -0.472851
0.064613, -0.765877, 0.475521, -0.469418
0.065115, -0.763607, 0.479641, -0.479088
0.065635, -0.766621, 0.481663, -0.487137
0.066110, -0.768394, 0.478745, -0.489445
0.066626, -0.765228, 0.474339, -0.478058
0.067086, -0.767326, 0.482883, -0.468521
0.067590, -0.770416, 0.487366, -0.471821
0.068123, -0.772457, 0.491695, -0.476894
0.068568, -0.779037, 0.494614, -0.478802
0.069071, -0.779228, 0.500488, -0.475063
0.069575, -0.781307, 0.505486, -0.464649
0.070079, -0.780716, 0.503731, -0.454750
0.070569, -0.782318, 0.501785, -0.452080
0.071073, -0.784283, 0.506535, -0.454292
0.071575, -0.785275, 0.510178, -0.452480
0.072080, -0.789700, 0.511112, -0.451679
0.073042, -0.791759, 0.514812, -0.429401
0.073548, -0.791283, 0.521049, -0.421867
0.074072, -0.790939, 0.526676, -0.421925
0.074605, -0.790348, 0.524902, -0.421448
0.075507, -0.789547, 0.520134, -0.407143
0.076052, -0.789680, 0.526848, -0.396252
0.076516, -0.785942, 0.527382, -0.388012
0.076999, -0.786572, 0.523491, -0.381584
0.077492, -0.787334, 0.522461, -0.379620
0.077979, -0.786972, 0.525894, -0.374680
0.078491, -0.790501, 0.531025, -0.367794
0.078991, -0.789871, 0.532742, -0.360813
0.079492, -0.784550, 0.532856, -0.351734
0.079980, -0.785465, 0.534191, -0.345783
0.080529, -0.788422, 0.533314, -0.344868
0.080985, -0.787315, 0.535431, -0.341797
0.081635, -0.784073, 0.535412, -0.333900
0.081996, -0.784416, 0.536995, -0.325184
0.082440, -0.787506, 0.538197, -0.320644
0.082937, -0.784397, 0.539761, -0.314732
0.083976, -0.786724, 0.541496, -0.306759
0.084959, -0.784435, 0.543365, -0.295868
0.085411, -0.787735, 0.543461, -0.293274
0.086437, -0.790310, 0.548649, -0.291233
0.086905, -0.791531, 0.552349, -0.289974
0.087442, -0.788746, 0.548649, -0.280437
0.088396, -0.786991, 0.543289, -0.263004
0.088920, -0.783348, 0.543346, -0.263100
0.089402, -0.781841, 0.542583, -0.258446
0.089893, -0.777988, 0.540066, -0.251923
0.090398, -0.779133, 0.538712, -0.248356
0.090895, -0.785103, 0.544090, -0.244808
0.091402, -0.786572, 0.547466, -0.239830
0.091902, -0.784855, 0.549488, -0.232086
0.092420, -0.786572, 0.545788, -0.227470
0.092894, -0.784321, 0.541058, -0.224648
0.093417, -0.785885, 0.546303, -0.219669
0.093903, -0.785732, 0.549603, -0.214977
0.094387, -0.787621, 0.545902, -0.211391
0.094942, -0.781498, 0.545216, -0.210762
0.095392, -0.781841, 0.546570, -0.206757
0.095894, -0.776596, 0.550308, -0.204945
0.096394, -0.776443, 0.553741, -0.205536
0.096897, -0.773563, 0.555305, -0.205231
0.097799, -0.768642, 0.555496, -0.199661
0.098303, -0.771179, 0.553627, -0.199318
0.098806, -0.765533, 0.553761, -0.200024
0.099310, -0.764637, 0.555210, -0.199757
0.099813, -0.764141, 0.549374, -0.201950
0.100317, -0.759048, 0.544586, -0.203114
0.100821, -0.761814, 0.540504, -0.198555
0.101265, -0.758209, 0.533810, -0.196285
0.101770, -0.758190, 0.525227, -0.196762
0.102272, -0.759888, 0.516281, -0.194530
0.102775, -0.754395, 0.515308, -0.194740
0.103280, -0.755844, 0.507069, -0.191441
0.103783, -0.753784, 0.499134, -0.192528
0.104287, -0.757999, 0.493546, -0.195961
0.104763, -0.757885, 0.487499, -0.195026
0.105280, -0.759735, 0.477734, -0.192623
0.105724, -0.762882, 0.468655, -0.192451
0.106227, -0.758724, 0.464306, -0.193348
0.106731, -0.759277, 0.458431, -0.193272
0.107235, -0.758667, 0.451298, -0.195599
0.107740, -0.758228, 0.446644, -0.201416
0.108243, -0.757523, 0.444946, -0.202618
0.108746, -0.756378, 0.447903, -0.207214
0.109236, -0.757389, 0.449429, -0.212345
0.110183, -0.758686, 0.448799, -0.216675
0.110688, -0.759392, 0.448418, -0.218201
0.111176, -0.756760, 0.448227, -0.219212
0.111704, -0.754166, 0.449982, -0.223923
0.112191, -0.751019, 0.450325, -0.229950
0.112678, -0.751228, 0.455780, -0.235920
0.113206, -0.750580, 0.456772, -0.243664
0.113652, -0.749779, 0.457306, -0.241680
0.114155, -0.747223, 0.455132, -0.240612
0.114645, -0.742931, 0.453072, -0.241814
0.115162, -0.735493, 0.453224, -0.245571
0.115665, -0.732765, 0.450172, -0.249500
0.116169, -0.729885, 0.445728, -0.253143
0.116673, -0.726700, 0.443420, -0.258503
0.117145, -0.723839, 0.440807, -0.258923
0.117654, -0.719261, 0.436935, -0.262623
0.118152, -0.715847, 0.432835, -0.267715
0.118645, -0.712090, 0.429878, -0.274715
0.119112, -0.709839, 0.420952, -0.276089
0.119623, -0.709305, 0.422287, -0.278149
0.120124, -0.705032, 0.417366, -0.280838
0.120598, -0.700493, 0.411320, -0.288639
0.121606, -0.698662, 0.402508, -0.299377
0.122080, -0.696278, 0.403118, -0.304108
0.122614, -0.693703, 0.398617, -0.306072
0.123116, -0.689774, 0.394173, -0.307961
0.123591, -0.687523, 0.388832, -0.312634
0.124093, -0.685482, 0.386448, -0.321407
0.124571, -0.687218, 0.382462, -0.327396
0.125083, -0.684528, 0.377750, -0.333557
0.125556, -0.683842, 0.375252, -0.337257
0.126065, -0.681934, 0.371456, -0.338440
0.126554, -0.680580, 0.366039, -0.338554
0.127057, -0.677185, 0.363770, -0.343494
0.127557, -0.679226, 0.360889, -0.350895
0.128067, -0.678101, 0.351334, -0.353966
0.128524, -0.681229, 0.348454, -0.357399
0.129029, -0.676403, 0.345078, -0.361671
0.129541, -0.669937, 0.344009, -0.365448
0.130019, -0.669422, 0.342045, -0.371780
0.130500, -0.667896, 0.336952, -0.372543
0.130997, -0.663395, 0.331726, -0.372829
0.131487, -0.663815, 0.328465, -0.378056
0.132479, -0.659237, 0.325851, -0.382996
0.133027, -0.657806, 0.324974, -0.388927
0.133516, -0.652199, 0.323868, -0.393200
0.134004, -0.652103, 0.324535, -0.394115
0.134515, -0.650940, 0.323143, -0.398788
0.135487, -0.649891, 0.318623, -0.404110
0.135992, -0.648117, 0.315285, -0.406914
0.136465, -0.651684, 0.314980, -0.412312
0.136938, -0.652885, 0.315533, -0.413322
0.137447, -0.653229, 0.313416, -0.418987
0.137942, -0.650043, 0.311184, -0.422764
0.138435, -0.652866, 0.307140, -0.426254
0.138939, -0.650883, 0.307655, -0.432091
0.139442, -0.653057, 0.308342, -0.434208
0.139931, -0.656967, 0.305977, -0.437603
0.140435, -0.659180, 0.303593, -0.439873
0.140931, -0.654545, 0.305004, -0.441761
0.141427, -0.657063, 0.304260, -0.444679
0.141923, -0.654602, 0.307007, -0.447540
0.142412, -0.651531, 0.312252, -0.450211
0.143452, -0.657463, 0.314522, -0.454884
0.143944, -0.660095, 0.314674, -0.456333
0.144386, -0.661583, 0.320091, -0.455761
0.145030, -0.655231, 0.323277, -0.453835
0.145536, -0.654354, 0.327759, -0.456810
0.145880, -0.654469, 0.329437, -0.458794
0.146480, -0.651722, 0.332813, -0.455608
0.146984, -0.652122, 0.339317, -0.458965
0.147390, -0.647564, 0.338440, -0.460300
0.147878, -0.646648, 0.340080, -0.463142
0.148363, -0.646152, 0.337181, -0.462780
0.148841, -0.643463, 0.339413, -0.462475
0.149356, -0.641823, 0.340481, -0.462437
0.149831, -0.645390, 0.343876, -0.462513
0.150332, -0.646019, 0.344849, -0.460320
0.150819, -0.647488, 0.344830, -0.462494
0.151324, -0.649796, 0.343266, -0.465717
0.151830, -0.655422, 0.343704, -0.466080
0.152316, -0.658894, 0.351772, -0.465107
0.152818, -0.663891, 0.356312, -0.465012
0.153311, -0.666370, 0.356483, -0.466881
0.153785, -0.669384, 0.357895, -0.467377
0.154331, -0.670624, 0.363102, -0.468655
0.154798, -0.673580, 0.366783, -0.466309
0.155278, -0.674248, 0.365410, -0.465221
0.155805, -0.676441, 0.369053, -0.465927
0.156297, -0.680447, 0.374527, -0.464840
0.156775, -0.680218, 0.379677, -0.464783
0.157290, -0.681801, 0.382137, -0.460205
0.157787, -0.680351, 0.389900, -0.458050
0.158256, -0.683327, 0.394630, -0.456753
0.158740, -0.686054, 0.395279, -0.455627
0.159233, -0.681725, 0.400333, -0.452843
0.159782, -0.684566, 0.405045, -0.455914
0.160257, -0.685215, 0.411987, -0.454082
0.160752, -0.687866, 0.418186, -0.453758
0.161217, -0.684891, 0.425529, -0.455685
0.161732, -0.684471, 0.431767, -0.456524
0.162205, -0.692501, 0.435009, -0.452614
0.162743, -0.692844, 0.441933, -0.451927
0.163222, -0.698071, 0.446854, -0.450039
0.163730, -0.702248, 0.452080, -0.453262
0.164186, -0.706043, 0.457821, -0.449696
0.164718, -0.706635, 0.460739, -0.447845
0.165710, -0.713310, 0.467892, -0.443611
0.166170, -0.716114, 0.470982, -0.440521
0.166673, -0.719585, 0.477753, -0.435925
0.167177, -0.724106, 0.483131, -0.428028
0.167682, -0.727673, 0.487919, -0.426502
0.168206, -0.727406, 0.487595, -0.422268
0.168659, -0.729389, 0.493622, -0.416164
0.169162, -0.732422, 0.496731, -0.411987
0.169681, -0.737362, 0.502510, -0.412540
0.170184, -0.740566, 0.508003, -0.410004
0.170628, -0.745468, 0.514870, -0.410519
0.171132, -0.747070, 0.521889, -0.410271
0.171638, -0.753326, 0.529861, -0.406189
0.172140, -0.754871, 0.535965, -0.405922
0.172646, -0.760345, 0.540047, -0.407906
0.173155, -0.762711, 0.543518, -0.406132
0.173623, -0.767689, 0.550537, -0.403481
0.174124, -0.768166, 0.555115, -0.402546
0.174646, -0.776672, 0.559349, -0.398808
0.175094, -0.776463, 0.563374, -0.400505
0.175591, -0.781155, 0.561428, -0.398693
0.176095, -0.787449, 0.560436, -0.397301
0.176598, -0.787239, 0.565166, -0.394440
0.177104, -0.788193, 0.566940, -0.392532
0.177612, -0.789776, 0.565834, -0.388794
0.178096, -0.794849, 0.565968, -0.388393
0.178578, -0.796032, 0.563774, -0.382423
0.179082, -0.795174, 0.559711, -0.379791
0.179569, -0.795593, 0.557442, -0.378399
0.180068, -0.802155, 0.558586, -0.373363
0.180564, -0.811749, 0.583992, -0.382023
0.181048, -0.825710, 0.580750, -0.383377
0.181566, -0.827236, 0.568352, -0.379028
0.182069, -0.825100, 0.569992, -0.376987
0.182524, -0.824947, 0.581589, -0.376053
0.183028, -0.827560, 0.579567, -0.375767
0.183532, -0.828075, 0.561352, -0.361767
0.184039, -0.823231, 0.558357, -0.368748
0.184584, -0.817623, 0.573978, -0.368004
0.185043, -0.816383, 0.574265, -0.375290
0.185542, -0.814991, 0.565681, -0.378723
0.186051, -0.810394, 0.556374, -0.378189
0.186513, -0.808468, 0.557346, -0.370522
0.187027, -0.809574, 0.562801, -0.369415
0.187518, -0.812511, 0.567741, -0.374393
0.187995, -0.808468, 0.566425, -0.380840
0.188510, -0.846024, 0.656452, -0.441608
0.189038, -1.313381, 2.012558, -1.392269
0.189537, -2.004452, 2.714138, -2.015800
0.190039, -2.031612, 1.007309, -1.264019
0.190544, -1.658516, 0.441608, -0.831871
0.190940, -1.143723, 0.810909, -0.143070
0.191545, -0.703773, 0.504456, 0.064430
0.191944, -0.486736, -0.073814, 0.035667
0.192450, -0.519123, 0.134048, -0.237026
0.193045, -0.683537, 0.614834, -0.331135
0.193429, -0.819893, 0.618553, -0.234470
0.193947, -0.871639, 0.419540, -0.113773
0.194438, -0.914898, 0.363922, -0.316029
0.194928, -0.894051, 0.391273, -0.305824
0.195437, -0.822964, 0.407925, -0.225964
0.195938, -0.778484, 0.450897, -0.210590
0.196397, -0.763950, 0.465355, -0.227222
0.196919, -0.749207, 0.471401, -0.360832
0.197390, -0.724392, 0.486908, -0.379868
0.197916, -0.647507, 0.509930, -0.151367
0.198904, -0.608845, 0.399361, -0.304031
0.199377, -0.620461, 0.439854, -0.349407
0.199889, -0.653229, 0.502815, -0.317974
0.200363, -0.668850, 0.505714, -0.187798
0.200893, -0.671940, 0.540295, -0.246677
0.201360, -0.678291, 0.546551, -0.402622
0.201874, -0.710068, 0.566521, -0.368195
0.202857, -0.820751, 0.561676, -0.170441
0.203841, -0.756035, 0.566387, -0.156403
0.204347, -0.677490, 0.492210, -0.214024
0.204863, -0.636215, 0.491657, -0.301018
0.205338, -0.648155, 0.524254, -0.328999
0.205843, -0.674267, 0.522823, -0.300255
0.206306, -0.709782, 0.478230, -0.329037
0.206820, -0.703239, 0.468674, -0.380230
0.207323, -0.661755, 0.463219, -0.404148
0.207827, -0.646496, 0.467949, -0.518093
0.208330, -0.655384, 0.451355, -0.463009
0.209279, -0.727806, 0.474930, -0.336552
0.209782, -0.744305, 0.439186, -0.262489
0.210286, -0.745544, 0.412178, -0.358372
0.210760, -0.727921, 0.435352, -0.442295
0.211286, -0.687943, 0.384102, -0.401306
0.211752, -0.692387, 0.380802, -0.442791
0.212251, -0.720482, 0.435066, -0.379581
0.212770, -0.784340, 0.417728, -0.410347
0.213237, -0.810337, 0.411110, -0.495701
0.213740, -0.722675, 0.378723, -0.354900
0.214245, -0.676632, 0.428734, -0.311832
0.214765, -0.724525, 0.543861, -0.291100
0.215269, -0.842724, 0.617867, -0.297184
0.216244, -0.854187, 0.401058, -0.292835
0.216721, -0.850487, 0.451069, -0.358601
0.217222, -0.813122, 0.284100, -0.309219
0.217724, -0.801487, 0.279846, -0.494041
0.218231, -0.744419, 0.321903, -0.398979
0.218719, -0.776558, 0.322132, -0.357399
0.219194, -0.860157, 0.342960, -0.348301
0.219694, -0.941963, 0.313873, -0.326519
0.220230, -0.975151, 0.316257, -0.366325
0.220703, -0.922604, 0.293293, -0.323296
0.221194, -0.970020, 0.268974, -0.238476
0.221680, -1.091614, 0.253716, -0.201225
0.222687, -0.916634, 0.274162, -0.387974
0.223154, -0.832844, 0.322990, -0.308228
0.223682, -0.734367, 0.455799, -0.314789
0.224155, -0.643997, 0.392780, -0.281620
0.224641, -0.691795, 0.424614, -0.408764
0.225129, -0.758228, 0.561352, -0.397511
0.225642, -0.800648, 0.548630, -0.414352
0.226636, -0.686550, 0.532017, -0.286255
0.227109, -0.551319, 0.593472, -0.351772
0.227653, -0.509281, 0.494251, -0.443382
0.228146, -0.744419, 0.514240, -0.425320
0.228601, -0.978127, 0.631866, -0.314903
0.229111, -0.907822, 0.500679, -0.176716
0.229589, -0.798836, 0.403137, -0.136032
0.230108, -0.787430, 0.496826, -0.202522
0.230616, -0.863972, 0.474491, -0.203228
0.231109, -0.880299, 0.491943, -0.252132
0.231607, -0.818901, 0.440369, -0.255795
0.232108, -0.812492, 0.522213, -0.262814
0.232584, -0.835896, 0.491447, -0.227776
0.233088, -0.845318, 0.517712, -0.199070
0.234063, -0.803089, 0.491810, -0.193024
0.234660, -0.781364, 0.478783, -0.215549
0.235057, -0.829258, 0.441856, -0.227394
0.235562, -0.911751, 0.457153, -0.165424
0.236081, -0.889568, 0.450420, -0.106544
0.236539, -0.841980, 0.361099, -0.201015
0.237063, -0.856895, 0.408459, -0.256844
0.237579, -0.882397, 0.430164, -0.302696
0.238042, -0.880260, 0.406189, -0.251522
0.238555, -0.867882, 0.425968, -0.204830
0.239074, -0.852623, 0.422478, -0.204220
0.239510, -0.860176, 0.421124, -0.260391
0.240011, -0.854473, 0.422821, -0.225105
0.240555, -0.835972, 0.429707, -0.211258
0.241058, -0.817089, 0.449085, -0.148544
0.241495, -0.811806, 0.471840, -0.147991
0.242051, -0.806694, 0.490398, -0.158768
0.242969, -0.771961, 0.513630, -0.175686
0.243473, -0.766048, 0.535545, -0.176392
0.243976, -0.760536, 0.555382, -0.145969
0.244506, -0.728970, 0.590420, -0.147476
0.244980, -0.685349, 0.619240, -0.117645
0.245468, -0.655212, 0.649395, -0.116596
0.245982, -0.669556, 0.654106, -0.136280
0.246480, -0.656700, 0.694809, -0.141716
0.247428, -0.598316, 0.668983, -0.070515
0.247932, -0.635300, 0.670967, -0.050030
0.248436, -0.737782, 0.603390, -0.092297
0.248940, -0.819893, 0.561867, -0.061913
0.249442, -0.798588, 0.589352, -0.026264
