time, x, y, z 
0.000739, -0.835094, -0.634861, -0.399742
0.000919, -0.924568, -0.489006, -0.306053
0.001009, -0.879860, -0.218048, -0.556126
0.001117, -0.785370, -0.176163, -0.506439
0.001200, -0.749016, -0.095139, -0.436363
0.001284, -0.797119, -0.121384, -0.065041
0.001432, -0.972767, -0.552807, -0.304298
0.001527, -1.086082, -0.872631, -0.462608
0.001608, -0.975304, -0.565758, -0.725174
0.001690, -0.850334, -0.358067, -0.671654
0.001775, -0.800476, -0.401421, -0.600529
0.001859, -0.753746, -0.310173, -0.464020
0.001939, -0.717506, -0.213566, -0.517139
0.002025, -0.738583, -0.215664, -0.778141
0.002105, -0.817146, -0.526371, -0.628052
0.002186, -0.929832, -0.285702, -0.457249
0.002266, -0.881348, 0.304279, -0.518665
0.002348, -0.923634, 0.121460, -0.542030
0.002476, -0.970325, 0.665588, -0.775337
0.002560, -0.906734, 0.937996, -0.489998
0.002642, -1.017342, 0.566006, -0.361004
0.002724, -1.322479, -0.560169, 0.041618
0.002848, -1.462994, -1.351337, -0.151577
0.002930, -1.126156, -0.665894, -0.411606
0.003008, -0.870037, -0.538502, 0.028839
0.003103, -0.839291, -0.874615, -0.221443
0.003185, -0.731583, -1.343460, -0.029716
0.003265, -0.768108, -1.017532, -0.305386
0.003344, -0.828304, -0.217285, -0.441742
0.003484, -0.975380, -0.078793, -0.396461
0.003886, -1.160278, -0.495872, 0.080776
0.004389, -1.059074, 0.172806, 0.110455
0.004834, -0.933762, 0.617561, -0.251198
0.005337, -0.880623, -0.256958, -0.344791
0.005903, -0.649490, -0.916443, -0.258369
0.006881, -0.850143, -0.312595, -0.513039
0.007396, -0.989628, -0.797024, -0.027637
0.007849, -1.045341, -1.044865, -0.139618
0.008365, -0.914764, -0.226936, -0.483074
0.008798, -0.922451, -0.026226, -0.458012
0.009289, -1.121063, 0.475407, -0.459461
0.009785, -1.183891, 0.511608, 0.019951
0.010276, -1.265793, 0.188942, 0.033398
0.010814, -1.391964, 0.663605, -0.209293
0.011306, -1.387329, 1.020927, -0.100803
0.011798, -1.491756, -0.423241, 0.372410
0.012289, -1.407471, -2.019291, 0.331631
0.012813, -1.043720, -1.088867, -0.409222
0.013256, -0.867882, -0.609665, -0.525055
0.013755, -0.704155, -1.105461, 0.161610
0.014245, -0.529232, -1.269131, 0.204163
0.014740, -0.524006, -0.875893, -0.398464
0.015236, -0.552921, -0.330963, -0.475883
0.015730, -0.713463, -0.201473, -0.204449
0.016223, -1.052246, -0.077858, 0.030746
0.016726, -1.306400, -0.663509, 0.454369
0.017226, -1.239262, -0.604362, 0.024185
0.017711, -1.060028, -0.459290, -0.097809
0.018206, -0.938454, -0.434189, 0.048580
0.018719, -0.893955, -0.840149, -0.119858
0.019226, -0.779648, 0.071220, -0.207329
0.019725, -0.737991, 0.504780, -0.146103
0.020224, -0.819664, -0.650406, 0.074501
0.021196, -1.254539, -1.282330, 0.248890
0.021688, -1.350460, -1.632290, 0.172539
0.022166, -1.294899, -0.825119, 0.116901
0.022661, -1.167583, -0.106487, 0.303059
0.023171, -1.012955, 0.065022, 0.220985
0.023692, -0.826378, -0.783577, 0.036983
0.024147, -0.886860, -0.596428, 0.052109
0.024682, -1.302986, 0.249271, 0.178108
0.025189, -1.546440, -0.004215, 0.337677
0.025640, -1.179333, -0.995331, 0.271263
0.026139, -0.834675, 0.228329, 0.048389
0.026635, -0.839787, 1.541843, 0.093594
0.027130, -0.912247, 0.151005, -0.385418
0.027654, -0.898876, 0.004730, -0.184078
0.028151, -0.823784, 0.633965, 0.122528
0.028621, -0.776157, 0.077572, -0.137577
0.029141, -0.801010, -1.308346, -0.353470
0.029622, -1.072598, -2.413311, 0.333080
0.030117, -1.509514, -3.603954, 0.873852
0.030626, -1.669044, -2.953110, 0.716839
0.031123, -1.543045, -1.534977, 0.863762
0.031629, -1.489010, -0.569344, 1.028500
0.032604, -1.128979, 0.996552, 1.320496
