time, x, y, z 
0.000114, -0.499878, -0.102272, 1.229725
0.000240, 0.045395, -0.201950, 0.434914
0.000293, -0.042324, -0.078793, -0.634022
0.000346, -0.846920, -0.417633, -1.300869
0.000396, -1.633530, -0.672607, -0.877743
0.000446, -1.634998, -0.345612, 0.384617
0.000494, -1.178875, -0.079689, 0.055084
0.000543, -0.871372, -0.104599, -0.249119
0.000592, -1.005211, -0.208225, -0.104389
0.000640, -1.090546, -0.326748, 0.101070
0.000688, -1.231651, 0.162907, -0.757027
0.000736, -1.389275, -0.276470, -0.733604
0.000785, -0.950184, -0.266304, 0.856113
0.000833, -0.869827, 0.409546, 0.121117
0.000881, -1.276913, 0.415497, -0.654430
0.000929, -1.636105, -0.230846, -1.179409
0.000978, -1.429691, -0.619659, -0.802650
0.001026, -0.798683, -0.241470, 0.573616
0.001076, -0.274506, -0.003166, 0.934963
0.001125, -0.199127, -0.230331, 0.297642
0.001173, -0.442657, 0.091171, -0.478821
0.001222, -0.693741, 0.099201, -0.157814
0.001270, -1.268005, 0.434151, -0.560646
0.001319, -2.141705, 0.243874, -0.805225
0.001367, -2.055721, -0.072613, 0.454159
0.001421, -1.059284, -0.160408, 1.029224
0.001619, -0.368176, -0.082798, -0.085354
0.002112, -0.571518, -0.084686, -1.649075
0.002604, -1.079082, -0.438061, -1.015377
0.003096, -1.357918, 0.052147, -0.107651
0.003587, -1.508579, 0.836010, -0.224495
0.004130, -1.691647, 0.636139, -0.749855
0.004621, -1.835785, 0.368690, -1.488228
0.005081, -1.601830, 0.375652, -0.900135
0.005619, -1.254559, 0.313187, -0.370369
0.006079, -1.096821, 0.194016, -0.382957
0.006565, -1.094112, 0.109406, -0.426693
0.007121, -1.132030, 0.268345, -0.483570
0.007581, -1.163025, 0.335865, -0.464325
0.008063, -1.145763, 0.241261, -0.363293
0.008547, -1.115189, 0.157909, -0.387878
0.009080, -1.071377, 0.111675, -0.366611
0.009593, -1.016273, -0.003281, -0.284939
0.010031, -0.968857, -0.127411, -0.234299
0.010566, -0.926800, -0.207005, -0.101089
0.011050, -0.904179, -0.254707, 0.016117
0.011534, -0.907307, -0.293159, 0.099926
0.012017, -0.901070, -0.320282, 0.176983
0.013042, -0.868206, -0.326633, 0.220680
0.013529, -0.880680, -0.328159, 0.208645
0.014011, -0.885181, -0.323086, 0.187950
0.014513, -0.889606, -0.329227, 0.161266
0.015007, -0.905972, -0.314770, 0.159760
0.015495, -0.931740, -0.263653, 0.180531
0.015972, -0.939102, -0.247803, 0.158043
0.016517, -0.893650, -0.277748, 0.117741
0.017471, -0.864029, -0.308037, 0.059185
0.017963, -0.892582, -0.312939, 0.051880
0.018451, -0.902901, -0.286217, 0.034809
0.018951, -0.909233, -0.267277, 0.019093
0.019545, -0.903606, -0.269012, 0.005112
0.019962, -0.907364, -0.262794, 0.008678
0.020451, -0.904236, -0.278664, 0.026455
0.020925, -0.906677, -0.265427, 0.002346
0.021436, -0.917015, -0.268002, -0.000553
0.021957, -0.918140, -0.275040, -0.003948
0.022460, -0.922146, -0.252647, -0.026836
0.022912, -0.931263, -0.277805, 0.011730
0.023411, -0.898457, -0.402470, 0.112171
0.023907, -0.887604, -0.346241, -0.017395
0.024430, -0.931263, -0.254974, -0.057755
0.024920, -0.975285, -0.266323, -0.042744
0.025394, -0.971279, -0.277443, -0.048733
0.025882, -0.956135, -0.206051, -0.111675
0.026912, -0.963554, -0.227585, -0.054531
0.027395, -0.959473, -0.208321, -0.078945
0.027878, -0.962582, -0.224876, -0.078545
0.028362, -0.953827, -0.271645, -0.028782
0.028870, -0.937023, -0.291519, -0.048351
0.029482, -0.910740, -0.339775, -0.025082
0.029848, -0.888462, -0.400066, 0.003986
0.030381, -0.865707, -0.472145, 0.048065
0.030868, -0.835819, -0.503273, 0.072117
0.031376, -0.830975, -0.496597, 0.075359
0.031830, -0.849953, -0.473843, 0.072269
0.032324, -0.874844, -0.452175, 0.067768
0.032814, -0.875988, -0.458241, 0.083179
0.033353, -0.854816, -0.462875, 0.093708
0.033839, -0.835247, -0.478764, 0.090771
0.034324, -0.820484, -0.502625, 0.086994
0.034810, -0.820560, -0.482407, 0.060940
0.035302, -0.843124, -0.455952, 0.044785
0.035801, -0.862522, -0.478668, 0.074329
0.036314, -0.872269, -0.432014, 0.004292
0.036779, -0.876217, -0.405445, 0.015621
0.037313, -0.887470, -0.415039, 0.039539
0.037799, -0.886841, -0.416489, 0.049038
0.038282, -0.886517, -0.382957, 0.016880
0.038766, -0.892029, -0.403004, 0.031319
0.039300, -0.900402, -0.384464, 0.015583
0.039779, -0.911922, -0.372791, 0.043297
0.040263, -0.918694, -0.375347, 0.044765
0.040745, -0.914955, -0.372906, 0.059643
0.041280, -0.921326, -0.358200, 0.060959
0.041763, -0.941143, -0.337238, 0.041142
0.042245, -0.946846, -0.349998, 0.075760
0.042728, -0.958290, -0.315247, 0.052834
0.043262, -0.971069, -0.311623, 0.081882
0.043744, -0.978985, -0.294590, 0.094223
0.044227, -0.989609, -0.279446, 0.096989
0.044710, -1.001606, -0.262012, 0.109730
