time, x, y, z 
0.000745, -0.819035, -0.328102, -0.383282
0.000927, -0.812073, -0.332909, -0.379543
0.001010, -0.813713, -0.344372, -0.368156
0.001092, -0.824432, -0.346298, -0.358410
0.001180, -0.828514, -0.341549, -0.359383
0.001259, -0.835781, -0.351810, -0.348167
0.001341, -0.844936, -0.356407, -0.332794
0.001424, -0.857182, -0.373287, -0.307579
0.001504, -0.870113, -0.371628, -0.298195
0.001587, -0.882454, -0.368977, -0.289268
0.001637, -0.896931, -0.396824, -0.270844
0.001687, -0.900345, -0.389290, -0.269585
0.001737, -0.891132, -0.376968, -0.279064
0.001786, -0.877266, -0.363789, -0.302525
0.001835, -0.861168, -0.360661, -0.320835
0.001885, -0.850983, -0.361633, -0.333576
0.001934, -0.851326, -0.350189, -0.349255
0.001982, -0.847797, -0.328312, -0.378151
0.002031, -0.846748, -0.322361, -0.390320
0.002077, -0.846577, -0.314178, -0.397129
0.002126, -0.844307, -0.317574, -0.399590
0.002175, -0.844059, -0.328197, -0.410805
0.002223, -0.845776, -0.325508, -0.388355
0.002273, -0.850430, -0.321407, -0.375710
0.002333, -0.855885, -0.317440, -0.382862
0.002422, -0.854149, -0.331936, -0.373898
0.002503, -0.861301, -0.333557, -0.350170
0.002583, -0.871487, -0.360870, -0.322418
0.002662, -0.876217, -0.362740, -0.318336
0.003058, -0.858803, -0.326252, -0.356998
0.003561, -0.834866, -0.325260, -0.369434
0.004066, -0.821953, -0.322723, -0.389175
0.004567, -0.803890, -0.326385, -0.395870
0.005067, -0.808010, -0.333881, -0.399227
0.005568, -0.821648, -0.351639, -0.370617
0.006067, -0.820236, -0.313911, -0.381317
0.006566, -0.814629, -0.295067, -0.396233
0.007064, -0.809937, -0.269966, -0.412140
0.007534, -0.797958, -0.252151, -0.426826
0.008027, -0.784092, -0.225277, -0.461960
0.008522, -0.787086, -0.198612, -0.474358
0.009016, -0.793743, -0.172291, -0.477085
0.009509, -0.793324, -0.149860, -0.490570
0.010002, -0.799904, -0.152168, -0.470772
0.010497, -0.785103, -0.110912, -0.465412
0.010993, -0.778522, -0.130997, -0.442524
0.011492, -0.778389, -0.162640, -0.402966
0.011984, -0.798969, -0.188980, -0.385933
0.012476, -0.797291, -0.170612, -0.378399
0.012967, -0.768490, -0.165787, -0.389919
0.013460, -0.753517, -0.220814, -0.367718
0.013953, -0.762997, -0.244122, -0.344696
0.014446, -0.771828, -0.238533, -0.341301
0.014954, -0.794373, -0.291538, -0.362453
0.015451, -0.864677, -0.336761, -0.318394
0.015949, -0.971603, -0.372696, -0.248528
0.016441, -1.071167, -0.415497, -0.192528
0.016942, -1.125298, -0.502262, -0.126705
0.017425, -1.095963, -0.504704, -0.156631
0.017925, -1.005650, -0.452042, -0.286388
0.018428, -0.869465, -0.402737, -0.422459
0.018923, -0.712280, -0.368004, -0.511112
0.019418, -0.579967, -0.348339, -0.558662
0.019912, -0.538406, -0.393295, -0.585308
0.020418, -0.611515, -0.518589, -0.500622
0.020902, -0.716209, -0.430470, -0.447083
0.021374, -0.814037, -0.417194, -0.419922
0.021899, -0.879288, -0.328083, -0.380917
0.022358, -0.856457, -0.222092, -0.380802
0.022873, -0.822544, -0.323544, -0.283928
0.023352, -0.807056, -0.328884, -0.254574
0.023870, -0.795536, -0.389538, -0.234585
0.024358, -0.849190, -0.458908, -0.198174
0.024841, -0.905819, -0.482903, -0.218487
0.025863, -0.858402, -0.376453, -0.371418
0.026347, -0.820770, -0.420685, -0.357132
0.026841, -0.780106, -0.459671, -0.330925
0.027355, -0.758533, -0.529613, -0.281410
0.027842, -0.794525, -0.572224, -0.231037
0.028330, -0.856571, -0.585346, -0.205250
0.028833, -0.913048, -0.621891, -0.167732
0.029351, -0.924683, -0.592499, -0.164242
0.029797, -0.921154, -0.604324, -0.170918
0.030303, -0.902138, -0.560532, -0.220871
0.030793, -0.860023, -0.489769, -0.299072
0.031296, -0.807247, -0.406761, -0.391922
0.031792, -0.763664, -0.401478, -0.423260
0.032329, -0.729542, -0.391750, -0.417500
0.032816, -0.701485, -0.372219, -0.416813
0.033299, -0.704498, -0.373020, -0.416222
0.033762, -0.734444, -0.409775, -0.378094
0.034305, -0.792561, -0.441570, -0.324135
0.035257, -0.851574, -0.488415, -0.246048
0.035748, -0.862522, -0.533047, -0.203629
0.036231, -0.849934, -0.491714, -0.205364
0.036767, -0.813751, -0.438328, -0.263844
0.037262, -0.790043, -0.447960, -0.290031
0.037761, -0.815430, -0.500851, -0.253239
0.038212, -0.848370, -0.497417, -0.233784
0.038709, -0.858574, -0.455322, -0.241852
0.039201, -0.873489, -0.436821, -0.262280
0.039700, -0.902042, -0.438499, -0.249100
0.040193, -0.921192, -0.438480, -0.224800
0.041204, -0.927582, -0.421429, -0.228577
0.041701, -0.883446, -0.389977, -0.279293
0.042193, -0.845585, -0.396328, -0.315094
0.042688, -0.842457, -0.382519, -0.346851
0.043182, -0.839195, -0.357571, -0.377560
0.043677, -0.838070, -0.348244, -0.401440
0.044169, -0.836391, -0.355282, -0.402107
0.044667, -0.822983, -0.353279, -0.398808
0.045160, -0.813198, -0.339680, -0.400448
0.045655, -0.810795, -0.325756, -0.398197
0.046166, -0.806961, -0.333767, -0.382290
0.046684, -0.813026, -0.342808, -0.368767
0.047136, -0.837688, -0.359135, -0.332890
0.047672, -0.864964, -0.369549, -0.303440
0.048637, -0.890751, -0.342636, -0.271797
0.049128, -0.875206, -0.341148, -0.278893
0.049618, -0.868168, -0.351925, -0.271587
0.050109, -0.848694, -0.343132, -0.298786
0.050616, -0.814381, -0.343399, -0.336761
0.051143, -0.805798, -0.352383, -0.350170
0.051608, -0.825157, -0.353050, -0.349102
0.052088, -0.833950, -0.348320, -0.348682
0.052626, -0.846100, -0.348186, -0.339718
0.053110, -0.855370, -0.348148, -0.322742
0.053578, -0.839272, -0.338116, -0.327740
0.054070, -0.824089, -0.334492, -0.337410
0.054601, -0.824547, -0.352879, -0.336094
0.055080, -0.842247, -0.358772, -0.324860
0.055570, -0.847473, -0.353794, -0.318089
0.056062, -0.832119, -0.367222, -0.318871
0.056560, -0.799446, -0.387421, -0.338554
0.057041, -0.786819, -0.402813, -0.341644
0.057547, -0.804367, -0.408230, -0.332775
0.058034, -0.831432, -0.387306, -0.327320
0.058577, -0.841122, -0.374489, -0.320835
0.059069, -0.843735, -0.370522, -0.311718
0.059564, -0.857525, -0.368500, -0.305004
0.060050, -0.866585, -0.359669, -0.312099
0.060522, -0.865231, -0.375309, -0.303059
0.061010, -0.855751, -0.394611, -0.300179
0.061535, -0.873260, -0.405350, -0.293751
0.062010, -0.893612, -0.401726, -0.287914
0.062995, -0.868912, -0.405712, -0.279388
0.063514, -0.848370, -0.418415, -0.288525
0.063989, -0.827427, -0.419178, -0.303421
0.064517, -0.812836, -0.417156, -0.316200
0.064993, -0.800362, -0.424786, -0.323410
0.065510, -0.799065, -0.437279, -0.325413
0.065967, -0.809765, -0.428543, -0.319710
0.066483, -0.826836, -0.417957, -0.321865
0.067470, -0.781021, -0.448780, -0.314407
0.067978, -0.749073, -0.463219, -0.326996
0.068481, -0.738678, -0.461559, -0.338421
0.068982, -0.763874, -0.464821, -0.332489
0.069959, -0.792007, -0.460854, -0.292187
0.070463, -0.763111, -0.470905, -0.295258
0.070925, -0.748024, -0.472527, -0.300560
0.071414, -0.730801, -0.475712, -0.302448
0.072433, -0.782185, -0.437088, -0.306435
0.072984, -0.832729, -0.380764, -0.319271
0.073444, -0.864201, -0.392838, -0.289593
0.073935, -0.899734, -0.378780, -0.292683
0.074618, -0.953102, -0.320587, -0.319138
0.074945, -0.936565, -0.288029, -0.322609
0.075505, -0.859814, -0.339813, -0.305386
0.076068, -0.834656, -0.351276, -0.330067
0.076515, -0.862255, -0.363598, -0.315876
0.076973, -0.916939, -0.371323, -0.295620
0.077536, -0.964832, -0.364799, -0.278702
0.077983, -0.967999, -0.380383, -0.236912
0.078436, -0.929623, -0.389423, -0.213184
0.079138, -0.896950, -0.392094, -0.219135
0.079392, -0.887814, -0.410614, -0.218430
0.079918, -0.901375, -0.387878, -0.238323
0.080588, -0.874081, -0.373497, -0.246868
0.081048, -0.835304, -0.365524, -0.281620
0.081470, -0.818691, -0.375195, -0.306950
0.081827, -0.898323, -0.238304, -0.400677
0.082413, -0.987206, -0.208530, -0.351639
0.082900, -1.017475, -0.223751, -0.256157
0.083314, -1.004581, -0.270901, -0.194950
0.083930, -0.986271, -0.275860, -0.231209
0.084311, -0.956688, -0.242577, -0.310669
0.084819, -0.907745, -0.306339, -0.306625
0.085303, -0.896034, -0.316620, -0.309887
0.086299, -0.925407, -0.182152, -0.433254
0.086819, -0.899773, -0.197811, -0.451775
0.087310, -0.861683, -0.226192, -0.450230
0.087811, -0.841904, -0.184784, -0.467587
0.088273, -0.856190, -0.186443, -0.437794
0.088776, -0.881157, -0.234051, -0.371265
0.089277, -0.916710, -0.297565, -0.297279
0.089785, -0.934429, -0.375538, -0.214901
0.090256, -0.909538, -0.436859, -0.155010
0.090782, -0.858746, -0.454197, -0.158615
0.091277, -0.809326, -0.441933, -0.201492
0.091759, -0.798435, -0.403976, -0.268803
0.092243, -0.793724, -0.412254, -0.298710
0.092775, -0.780182, -0.431252, -0.312996
0.093249, -0.758266, -0.419846, -0.343361
0.093715, -0.750809, -0.345707, -0.437832
0.094258, -0.765362, -0.295143, -0.477581
0.094705, -0.793533, -0.310860, -0.448570
0.095235, -0.808754, -0.387592, -0.372639
0.095739, -0.804100, -0.414047, -0.366096
0.096197, -0.786839, -0.338440, -0.434799
0.096701, -0.750618, -0.411167, -0.375042
0.097232, -0.744514, -0.492363, -0.304565
0.097678, -0.737534, -0.596905, -0.230732
0.098182, -0.709324, -0.546494, -0.286293
0.098672, -0.690479, -0.591831, -0.294018
0.099169, -0.683098, -0.738564, -0.202942
